no.,project,class,seed,coverage
1,10_jmca,com.soops.CEN4010.JMCA.JParser.JavaCharStream,1017,0.9166666666666666
2,10_jmca,com.soops.CEN4010.JMCA.JParser.JavaParser,1014,0.2619047619047619
3,10_jmca,com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,1010,0.46953719976567077
4,11_jdbacl,org.databene.jdbacl.DBUtil,1005,0.37055837563451777
5,11_jdbacl,org.databene.jdbacl.SQLUtil,1001,0.8882978723404256
6,12_javathena,org.javathena.login.Login,1026,0.4784313725490196
7,13_javaviewcontrol,com.pmdesigns.jvc.tools.JVCParser,1011,0.5248868778280543
8,13_javaviewcontrol,com.pmdesigns.jvc.tools.JVCParserTokenManager,1021,0.3116308470290772
9,14_jsecurity,org.jsecurity.web.DefaultWebSecurityManager,1002,0.7313432835820896
10,15_byuic,org.mozilla.javascript.Parser,1017,0.41880920162381596
11,16_freemind,accessories.plugins.time.JDayChooser,1013,0.8125
12,17_saxpath,com.werken.saxpath.XPathLexer,1014,0.8698347107438017
13,18_jiprof,org.objectweb.asm.jip.MethodWriter,1015,0.5036407766990292
17,19_shop,umd.cs.shop.JSTerm,1029,0.6666666666666666
16,19_shop,umd.cs.shop.JSState,1009,0.4390243902439024
14,19_shop,umd.cs.shop.JSJshop,1013,0.35964912280701755
15,19_shop,umd.cs.shop.JSPredicateForm,1026,0.7011494252873564
18,1_bcel,org.apache.bcel.classfile.Utility,1013,0.8771834061135371
19,1_bcel,org.apache.bcel.generic.ConstantPoolGen,1015,0.8223350253807107
20,1_bcel,org.apache.bcel.util.Class2HTML,1012,0.8301886792452831
21,1_bcel,org.apache.bcel.verifier.structurals.InstConstraintVisitor,1009,0.18995098039215685
22,20_a4j,net.kencochrane.a4j.DAO.Product,1019,0.0967741935483871
23,20_a4j,net.kencochrane.a4j.file.FileUtil,1000,0.52
27,21_wheelwebtool,wheel.util.DynamicSelectModel,1020,0.9
24,21_wheelwebtool,wheel.asm.ClassReader,1006,0.5055079559363526
25,21_wheelwebtool,wheel.asm.ClassWriter,1005,0.9770114942528736
26,21_wheelwebtool,wheel.asm.FieldWriter,1002,1.0
30,22_firebird,org.firebirdsql.jdbc.FBProcedureCall,1012,0.8877551020408163
28,22_firebird,org.firebirdsql.encodings.EncodingFactory,1003,0.9641025641025641
29,22_firebird,org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl,1019,0.2653846153846154
39,23_fastjson,com.alibaba.fastjson.util.JavaBeanInfo,1005,0.41409691629955947
31,23_fastjson,com.alibaba.fastjson.JSONArray,1021,0.9886363636363636
32,23_fastjson,com.alibaba.fastjson.parser.DefaultJSONParser,1005,0.3678678678678679
33,23_fastjson,com.alibaba.fastjson.parser.JSONLexerBase,1004,0.32512060647829083
34,23_fastjson,com.alibaba.fastjson.parser.JSONReaderScanner,1020,0.8365384615384616
35,23_fastjson,com.alibaba.fastjson.serializer.DateCodec,1022,0.6578947368421053
36,23_fastjson,com.alibaba.fastjson.serializer.StringCodec,1007,0.7391304347826086
37,23_fastjson,com.alibaba.fastjson.util.ASMUtils,1010,0.4393939393939394
