no.,project,class,seed,coverage
85,5_la4j,org.la4j.matrix.sparse.CCSMatrix,1005,0.9320388349514565
87,5_la4j,org.la4j.vector.sparse.CompressedVector,1005,0.9470588235294116
86,5_la4j,org.la4j.matrix.sparse.CRSMatrix,1011,0.9320388349514565
83,5_la4j,org.la4j.linear.GaussianSolver,1002,1.0
84,5_la4j,org.la4j.matrix.dense.Basic1DMatrix,1015,0.9753086419753085
81,5_la4j,org.la4j.decomposition.SingularValueDecompositor,1003,0.9450549450549448
80,5_la4j,org.la4j.decomposition.EigenDecompositor,1007,0.9013452914798208
79,5_la4j,org.la4j.Matrix,1013,0.9287564766839377
82,5_la4j,org.la4j.linear.ForwardBackSubstitutionSolver,1003,0.9523809523809524
95,6_re2j,com.google.re2j.Utils,1005,0.9807692307692308
88,6_re2j,com.google.re2j.CharClass,1015,0.982608695652174
89,6_re2j,com.google.re2j.Compiler,1003,0.8684210526315791
90,6_re2j,com.google.re2j.Parser,1015,0.8043478260869565
91,6_re2j,com.google.re2j.RE2,1016,0.9605263157894736
92,6_re2j,com.google.re2j.Regexp,1001,0.8440860215053764
93,6_re2j,com.google.re2j.Simplify,1002,0.8602941176470589
94,6_re2j,com.google.re2j.Unicode,1003,0.8876404494382022
100,7_okhttp,okhttp3.internal.tls.OkHostnameVerifier,1000,0.2272727272727273
99,7_okhttp,okhttp3.internal.tls.DistinguishedNameParser,1001,0.023696682464454968
98,7_okhttp,okhttp3.internal.http.HttpHeaders,1017,0.7272727272727273
96,7_okhttp,okhttp3.CacheControl,1004,1.0
97,7_okhttp,okhttp3.HttpUrl,1003,0.9202127659574468
101,8_image,org.apache.commons.imaging.common.RationalNumber,1000,0.9852941176470588
102,8_image,org.apache.commons.imaging.formats.bmp.BmpImageParser,1009,0.29535864978902954
103,8_image,org.apache.commons.imaging.formats.tiff.TiffField,1009,0.9161290322580644
104,8_image,org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase,1010,0.7669902912621359
109,9_weka,weka.classifiers.functions.supportVector.RegSMO,1000,0.6426116838487973
110,9_weka,weka.classifiers.functions.supportVector.RegSMO,1000,0.6426116838487973
108,9_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,1004,0.6741573033707865
111,9_weka,weka.core.FindWithCapabilities,1006,0.8522267206477733
106,9_weka,weka.classifiers.Evaluation,1017,0.5327564894932015
105,9_weka,weka.classifiers.CheckClassifier,1009,0.7493261455525606
107,9_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,1004,0.6741573033707865
112,9_weka,weka.gui.beans.Filter,1012,0.5176056338028169
