"class","random","adynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.325714285714286,0.341312741312741,0.373274782943254,0.450675675675676,"negligible"
"net.kencochrane.a4j.file.FileUtil",0.478181818181818,0.504545454545455,0.000000467679841137681,0.191373966942149,"large"
"net.kencochrane.a4j.DAO.Product",0.0931899641577061,0.0928402832415421,0.890566388574002,0.505420054200542,"negligible"
"wheel.asm.Frame",0.593174145993992,0.714635437342861,0.00000000000000637864449700103,0.0251450676982592,"large"
"weka.classifiers.rules.JRip",0.267413227016886,0.275328330206379,0.00227914317332246,0.304878048780488,"medium"
"org.apache.commons.math3.ode.AbstractIntegrator",0.660714285714286,0.658446712018141,0.000012837567573617,0.76461038961039,"large"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.912023460410557,0.936917562724014,0.0048039859296787,0.32979797979798,"medium"
"wheel.components.Component",0.740724206349206,0.766565040650407,0.000000000336650866503637,0.0995934959349594,"large"
"org.firebirdsql.jdbc.FBCachedFetcher",0.505787515502274,0.510128152128979,0.304056343637643,0.557703747769185,"negligible"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.795205706702057,0.818536750976065,0.0000000778230554311634,0.165961945031712,"large"
"org.apache.bcel.classfile.Utility",0.876078389604857,0.875642891800097,0.845606207677843,0.512466124661247,"negligible"
"weka.filters.unsupervised.attribute.Discretize",0.418044077134986,0.52160030052592,0.000560166697514425,0.283820346320346,"medium"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",0.816548145300788,0.803863155871613,0.300334507761095,0.564359113034072,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.875314228255405,0.891113892365457,0.0151853282549516,0.3557010365521,"small"
"weka.core.Optimization",0.0825892857142857,0.0825892857142857,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.764444444444444,0.841666666666667,0.000000234817235443396,0.183068783068783,"large"
"wheel.json.JSONObject",0.868253968253968,0.86484798000833,0.311880669363026,0.560544217687075,"negligible"
"weka.core.stemmers.LovinsStemmer",0.683288243974422,0.688028482421006,0.122299948474304,0.399436090225564,"small"
"org.apache.commons.math3.ode.MultistepIntegrator",0.862790697674419,0.866666666666667,0.340766919511887,0.488372093023256,"negligible"
"com.werken.saxpath.XPathLexer",0.872038567493113,0.873527343063126,0.310985624184432,0.438770685579196,"negligible"
