"class","random","adynamosa","p-value","d","magnitude"
"org.apache.commons.jxpath.util.MethodLookupUtils",0.593397887323944,0.62544014084507,0.00776752784081393,0.326875,"medium"
"us.codecraft.webmagic.model.PageModelExtractor",0.0901675485008818,0.100344530577089,0.00000000707389905169573,0.174972314507198,"large"
"weka.gui.beans.Filter",0.198609355246523,0.229766693483508,0.000388833110759555,0.277597402597403,"medium"
"umd.cs.shop.JSPredicateForm",0.467849223946785,0.570414673046252,0.00000000000775344554029686,0.0523106546854942,"large"
"com.google.re2j.Utils",0.571779778393352,0.683402585410896,0.00000000000000677027907213136,0,"large"
"okhttp3.CacheControl",0.628605769230769,0.678529549718574,0.000000325639904149541,0.177937915742794,"large"
"org.apache.bcel.verifier.structurals.InstConstraintVisitor",0.0011724978895038,0.00402912911120396,0.421822256087479,0.453192640692641,"negligible"
"com.google.gson.stream.JsonReader",0.134420109507218,0.157465156794425,0.00000000650281892132608,0.127380952380952,"large"
"org.databene.jdbacl.SQLUtil",0.593018745959922,0.651900760304122,0.000000000387367257881994,0.0955433455433455,"large"
"wheel.asm.ClassReader",0.15969317838011,0.33571136190866,0.0000000191824621852701,0,"large"
"okio.RealBufferedSink",0.248181818181818,0.312121212121212,0.00000000000605945558243233,0.0632478632478632,"large"
"org.javathena.login.Login",0.224701079031788,0.238099498926271,0.000166914908731482,0.268181818181818,"medium"
"com.google.gson.internal.LinkedHashTreeMap",0.160223988439306,0.185177539223782,0.00000549007271597378,0.218622448979592,"large"
"umd.cs.shop.JSJshop",0.0768912773873501,0.107966101694915,0.00000000831276868738185,0.149024390243902,"large"
"wheel.util.DynamicSelectModel",0.25025641025641,0.44108843537415,0.00000000930896593514132,0.142595499738357,"large"
"com.google.re2j.Compiler",0.118258212375859,0.106430155210643,0.0543272178943843,0.628919860627178,"small"
"us.codecraft.webmagic.utils.DoubleKeyMap",0.639133921411387,0.678927203065134,0.144419065549967,0.410077519379845,"small"
"com.google.re2j.CharClass",0.152194309927361,0.136979100293106,0.0950169545024329,0.610197368421053,"small"
"org.mozilla.javascript.Parser",0.0838514966983808,0.10688830772339,0.000000000000858656471845285,0.0465116279069767,"large"
"okio.Okio",0.255102040816327,0.24530612244898,0.65093657352309,0.47108843537415,"negligible"
"org.objectweb.asm.jip.MethodWriter",0.0625070801472671,0.124548286604361,0.00000000000000334381941819579,0,"large"
"com.google.re2j.Regexp",0.285125968992248,0.291343669250646,0.955217678284189,0.496214169821525,"negligible"
"com.pmdesigns.jvc.tools.JVCParser",0.166429638057314,0.195510204081633,0.000000000453120611362617,0.118536585365854,"large"
"org.databene.jdbacl.DBUtil",0.155124223602484,0.21421926910299,0.000000262234634738496,0.182760364004044,"large"
"org.freehep.math.minuit.MnAlgebraicSymMatrix",0.137578241667461,0.19518317287834,0.000000788098028737809,0.174884944115713,"large"
"com.google.re2j.Simplify",0.229568854568855,0.190342781806196,0.13657805175281,0.594947735191638,"small"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",0.136030636030636,0.206632653061224,0.000000000422861056752799,0.0964590964590965,"large"
"com.alibaba.fastjson.util.ASMUtils",0.385064935064935,0.39866194411649,0.00044226604282335,0.262121212121212,"large"
"com.alibaba.fastjson.util.IOUtils",0.33684813638374,0.373389012887897,0.0000000667343429463025,0.163583509513742,"large"
"org.la4j.decomposition.EigenDecompositor",0.109123328380386,0.111878332313609,0.847571608661957,0.481176470588235,"negligible"
"org.jsecurity.web.DefaultWebSecurityManager",0.290358126721763,0.348821548821549,0.000000000000035013289288973,0.0477272727272727,"large"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",0.00873552123552124,0.0123552123552124,0.920260568686403,0.505113221329438,"negligible"
"com.alibaba.fastjson.serializer.DateCodec",0.643939393939394,0.733333333333333,0.000000052691010084385,0.144155844155844,"large"
"com.google.re2j.Parser",0.187345040002045,0.18458451550239,0.140990754851,0.593537414965986,"small"
"weka.classifiers.Evaluation",0.0581109100505165,0.0877047856011891,0.00000000203365800391224,0.0964285714285714,"large"
"okio.Buffer",0.259023394449454,0.382007521608129,0.000000000000322632974506537,0.016260162601626,"large"
"us.codecraft.webmagic.Site",0.535714285714286,0.542194984502677,0.000000935518502264864,0.194727891156463,"large"
"okhttp3.internal.tls.OkHostnameVerifier",0.0381395348837209,0.0643023255813954,0.0000000000000058681462990233,0.0191995673336939,"large"
"com.google.re2j.Unicode",0.485772064134046,0.507077856420627,0.00060433207399547,0.285018929150892,"medium"
"umd.cs.shop.JSState",0.247840531561462,0.293333333333333,0.00000000000000415118765220738,0.000894454382826476,"large"
"us.codecraft.webmagic.Spider",0.319016219132864,0.344093188598997,0.531515261350344,0.422222222222222,"small"
"okhttp3.internal.tls.DistinguishedNameParser",0.0334212261041529,0.072027027027027,0.000352656115877167,0.299024390243902,"medium"
"com.alibaba.fastjson.util.TypeUtils",0.237918084524922,0.265849258842906,0.000000063172676902537,0.121892542101043,"large"
"okio.Segment",0.127107719280153,0.319884895466291,0.0000000000000743744789087544,0.00338753387533875,"large"
"com.google.gson.internal.LinkedTreeMap",0.192160367722165,0.273213171036205,0.000000000000102354244293348,0.0492424242424242,"large"
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0.145989974937343,0.141186299081036,0.899934947535602,0.491343490304709,"negligible"
"org.la4j.linear.ForwardBackSubstitutionSolver",0.275355596784168,0.364645858343337,0.0000412476873860421,0.142602495543672,"large"
"org.freehep.math.minuit.MnMinos",0.016663380003944,0.340392738897134,0.00000000000019610123630516,0.0598086124401914,"large"
"com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager",0.15802306339849,0.214598561213372,0.0000000000000155564238613055,0.00959302325581395,"large"
"org.la4j.decomposition.SingularValueDecompositor",0.250630782169891,0.255536865713485,0.913277055270921,0.491082045184304,"negligible"
"weka.classifiers.CheckClassifier",0.0724792110651456,0.108991923207794,0.0000000000701274509489352,0.0694444444444444,"large"
"com.alibaba.fastjson.serializer.StringCodec",0.246450673461958,0.31152746903779,0.00000000515707792051438,0.140633108458744,"large"
"org.la4j.matrix.dense.Basic1DMatrix",0.37993762993763,0.490384615384615,0.00047211760520959,0.0108108108108108,"large"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",0.216664561492148,0.366279993643731,0.0000000000010942885240864,0.00165425971877585,"large"
"org.la4j.vector.sparse.CompressedVector",0.380845088819227,0.343390804597701,1,0.511363636363636,"negligible"
"com.alibaba.fastjson.parser.JSONLexerBase",0.0796536383183387,0.106802514193025,0.0000000416768036462862,0.0747508305647841,"large"
"org.la4j.matrix.sparse.CRSMatrix",0.120045385779123,0.200280959585044,0.034640522875817,0.142857142857143,"large"
