"class","random","pdynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.386363636363636,0.400491400491401,0.150076412402606,0.422297297297297,"small"
"net.kencochrane.a4j.file.FileUtil",0.13236914600551,0.273760330578512,0.000000000000000669271112286379,0.000516528925619835,"large"
"net.kencochrane.a4j.DAO.Product",0.944444444444444,0.939024390243902,0.890566388574002,0.505420054200542,"negligible"
"wheel.asm.Frame",0.531914893617021,0.590909090909091,0.123986508111524,0.44294003868472,"negligible"
"weka.classifiers.rules.JRip",0.255704169944925,0.31733543141883,0.00000000000000391073661650472,0.000892325996430696,"large"
"org.apache.commons.math3.ode.AbstractIntegrator",0.188995215311005,0.270676691729323,0.0000000000000128253396375421,0.0243506493506494,"large"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.356060606060606,0.601851851851852,0.00000000000000292388362468549,0.0237373737373737,"large"
"wheel.components.Component",0.153685768092548,0.283726057599559,0.00000000000000448831670117771,0,"large"
"org.firebirdsql.jdbc.FBCachedFetcher",0.639372822299652,0.942508710801394,0.0000000000000110785406996629,0.0234979179060083,"large"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.383522727272727,0.515503875968992,0.000000000000000276179128960626,0.00264270613107822,"large"
"org.apache.bcel.classfile.Utility",0.433675652545999,0.54307992202729,0.00000000000000126407442555929,0,"large"
"weka.filters.unsupervised.attribute.Discretize",0.370039682539683,0.530618686868687,0.00000000000000120754428487449,0,"large"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.504273504273504,0.652482269503546,0.00000209068698127915,0.277686852154937,"medium"
"weka.core.Optimization",0.0839002267573696,0.0952380952380952,0.00579810573638004,0.380952380952381,"small"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.392592592592593,0.642857142857143,0.00000000178501445578019,0.176190476190476,"large"
"wheel.json.JSONObject",0.428177196804648,0.567827130852341,0.0000000000000000626225263111461,0,"large"
"weka.core.stemmers.LovinsStemmer",0.440058479532164,0.444444444444444,0.139313362256642,0.473684210526316,"negligible"
"org.apache.commons.math3.ode.MultistepIntegrator",0.303255813953488,0.619512195121951,0.000000000000000934925208139096,0,"large"
"com.werken.saxpath.XPathLexer",0.361189358372457,0.382379382679053,0.0000000000000000365362226348215,0.00425531914893617,"large"
"okhttp3.internal.http.HttpHeaders",0.281048985650668,0.440237966468361,0.000000000000000140837382786103,0,"large"
"umd.cs.shop.JSTerm",0.614227642276423,0.670325203252032,0.00000000000000758969154079071,0.0065625,"large"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.4875,0.5,0.154665260488928,0.475,"negligible"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.344021739130435,0.662804878048781,0.000000000000000819235069059932,0,"large"
"wheel.asm.FieldWriter",0.4,0.4,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",0.585365853658537,0.934662236987818,0.000000000000000437502771138219,0,"large"
"org.la4j.linear.GaussianSolver",0.324074074074074,0.666666666666667,0.00000000132244758413972,0.0138888888888889,"large"
"weka.classifiers.functions.supportVector.RegSMO",0.359447004608295,0.412563667232598,0.0000000000000923862046648322,0.0451127819548872,"large"
"org.freehep.math.minuit.MnLineSearch",0.5,0.5,NA,0.5,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",0.282019704433498,0.446316614420063,0.0000000000000000316444843351157,0,"large"
"org.firebirdsql.jdbc.FBProcedureCall",0.441811846689895,0.724350649350649,0.00000000000000149534605726803,0,"large"
"org.freehep.math.minuit.SimplexBuilder",0.651666666666667,0.804651162790698,0.00000000000000075748651417826,0.0232558139534884,"large"
"org.freehep.math.minuit.MnHesse",0.255639097744361,0.412321720832359,0.00000000000000966909601203489,0.00951847704367301,"large"
"okio.RealBufferedSource",0.168475452196382,0.403508771929825,0.00000000000000540875769461808,0,"large"
"org.freehep.math.minuit.MnFunctionCross",0.5,0.5,NA,0.5,"negligible"
"org.apache.bcel.util.Class2HTML",0.289405684754522,0.441975308641975,0.0000000000000000735707157407888,0.0294573643410853,"large"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.277003484320557,0.446428571428571,0.00000000000000152478493229518,0.00415742793791574,"large"
"org.apache.bcel.generic.ConstantPoolGen",0.340199335548173,0.430662020905923,0.00000000000000320798082423463,0.00368689733408962,"large"
"okio.Utf8",0.462962962962963,0.666666666666667,0.00000000000000000803656919792432,0.0222222222222222,"large"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",0.518845228548516,0.567323481116585,0.0000000000142373552237893,0.10077519379845,"large"
"okhttp3.HttpUrl",0.339473684210526,0.427471116816431,0.00000000000000115764697977085,0.00106044538706257,"large"
"org.apache.commons.imaging.formats.tiff.TiffField",0.45546683046683,0.78978978978979,0.000000000000000177946442166523,0,"large"
"okio.SegmentedByteString",0.137972262075562,0.334017327861377,0.00000000000000195660097587263,0,"large"
"com.alibaba.fastjson.parser.DefaultJSONParser",0.299319727891156,0.446003401360544,0.0000000000605886746868942,0.00694444444444444,"large"
"accessories.plugins.time.JDayChooser",0.324089306698002,0.363478260869565,0.000000000280364789807818,0.0698841698841699,"large"
"wheel.asm.ClassWriter",0.389545454545454,0.45296442687747,0.0000000000000585152008107029,0.0394021739130435,"large"
"com.google.re2j.RE2",0.552830188679245,0.613426941641071,0.00000000000000193892801988172,0,"large"
"okio.Timeout",0.444920440636475,0.596710526315789,0.00000000000000113183832860424,0.000290697674418605,"large"
"org.apache.commons.imaging.common.RationalNumber",0.879130434782609,0.906666666666667,0.000000000119112151931389,0.16304347826087,"large"
"com.alibaba.fastjson.JSONArray",0.216998754669988,0.432303281299777,0.000000000000000965314655614795,0,"large"
"okio.ByteString",0.39728853521957,0.515637530072173,0.00000000000000603308090436316,0,"large"
"org.firebirdsql.encodings.EncodingFactory",0.48,0.48,NA,0.5,"negligible"
"weka.core.FindWithCapabilities",0.420374707259953,0.530418943533698,0.00000000000000962958550065513,0.019047619047619,"large"
"org.apache.commons.jxpath.util.MethodLookupUtils",0.555882352941176,0.569852941176471,0.0417954046849328,0.38125,"small"
"us.codecraft.webmagic.model.PageModelExtractor",0.28125,0.416666666666667,0.000000000000000014751325475799,0,"large"
