"class","random","pdynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",1,1,NA,0.5,"negligible"
"net.kencochrane.a4j.file.FileUtil",0.983636363636364,1,0.0000118106987845247,0.318181818181818,"medium"
"net.kencochrane.a4j.DAO.Product",1,1,NA,0.5,"negligible"
"wheel.asm.Frame",1,1,NA,0.5,"negligible"
"weka.classifiers.rules.JRip",0.95189701897019,0.963075880758808,0.0121331261865645,0.342950624628197,"small"
"org.apache.commons.math3.ode.AbstractIntegrator",0.662055335968379,0.69047619047619,0.0000394207440963838,0.287337662337662,"medium"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.960227272727273,0.991666666666667,0.00910183936827107,0.395454545454545,"small"
"wheel.components.Component",0.925460636515913,0.998896923642603,0.000000000000000261072108135843,0,"large"
"org.firebirdsql.jdbc.FBCachedFetcher",0.906873614190687,1,0.000000000000000678680078487765,0.024390243902439,"large"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",1,1,NA,0.5,"negligible"
"org.apache.bcel.classfile.Utility",0.877518557794274,0.891304347826087,0.000000000211464600842997,0.182926829268293,"large"
"weka.filters.unsupervised.attribute.Discretize",0.93968253968254,1,0.000000000000000457420632089642,0.0357142857142857,"large"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",0.997416020671835,1,0.328695814040283,0.488372093023256,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.75,0.75,NA,0.5,"negligible"
"weka.core.Optimization",0.5,0.5,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",1,1,NA,0.5,"negligible"
"wheel.json.JSONObject",0.946296296296296,0.95,0.00445449617121216,0.422222222222222,"small"
"weka.core.stemmers.LovinsStemmer",1,1,NA,0.5,"negligible"
"org.apache.commons.math3.ode.MultistepIntegrator",0.602713178294574,0.666666666666667,0.000000387533593987038,0.255813953488372,"large"
"com.werken.saxpath.XPathLexer",1,1,NA,0.5,"negligible"
"okhttp3.internal.http.HttpHeaders",0.981762917933131,1,0.000786007433669596,0.382978723404255,"small"
"umd.cs.shop.JSTerm",1,1,NA,0.5,"negligible"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.996875,1,0.323285095513564,0.4875,"negligible"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.973320158102767,1,0.00000434380355641132,0.293478260869565,"medium"
"wheel.asm.FieldWriter",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",0.975609756097561,1,0.00127473258786978,0.390243902439024,"small"
"org.la4j.linear.GaussianSolver",0.888888888888889,1,0.00616481387973267,0.333333333333333,"medium"
"weka.classifiers.functions.supportVector.RegSMO",0.948412698412698,1,0.0000000000152721945068329,0.119047619047619,"large"
"org.freehep.math.minuit.MnLineSearch",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",0.985119047619048,1,0.038275453908032,0.452380952380952,"negligible"
"org.firebirdsql.jdbc.FBProcedureCall",0.944444444444444,0.944444444444444,NA,0.5,"negligible"
"org.freehep.math.minuit.SimplexBuilder",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnHesse",0.922697368421053,1,0.00000000000286421624956952,0.131578947368421,"large"
"okio.RealBufferedSource",0.839716312056738,1,0.000000000000000184500481053003,0,"large"
"org.freehep.math.minuit.MnFunctionCross",1,1,NA,0.5,"negligible"
"org.apache.bcel.util.Class2HTML",1,1,NA,0.5,"negligible"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.889663182346109,0.997835497835498,0.00000000000000242032482721018,0.0415742793791574,"large"
"org.apache.bcel.generic.ConstantPoolGen",0.991055456171735,1,0.000149145891715439,0.348837209302326,"small"
"okio.Utf8",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",1,1,NA,0.5,"negligible"
"okhttp3.HttpUrl",0.953769950467804,0.994133991972831,0.000000000000219535016271848,0.0527571580063627,"large"
"org.apache.commons.imaging.formats.tiff.TiffField",0.962121212121212,1,0.00000000000124240287316232,0.125,"large"
"okio.SegmentedByteString",0.937762825904121,1,0.0000000000000443014552540891,0.0731707317073171,"large"
"com.alibaba.fastjson.parser.DefaultJSONParser",0.905982905982906,1,0.0000000000235871279474364,0.0128205128205128,"large"
"accessories.plugins.time.JDayChooser",0.959925442684063,0.986206896551724,0.000000000520179639885701,0.108108108108108,"large"
