"class","random","pdynamosa","p-value","d","magnitude"
"us.codecraft.webmagic.model.PageModelExtractor",0.320388349514563,0.320388349514563,NA,0.5,"negligible"
"weka.gui.beans.Filter",0.508273335859543,0.525018085362913,0.0371865002301821,0.369318181818182,"small"
"umd.cs.shop.JSPredicateForm",0.754323725055432,0.791068580542265,0.00554393643496332,0.318677792041078,"medium"
"com.google.re2j.Utils",0.955882352941176,0.964705882352941,0.0000000000420931295857629,0.15,"large"
"okhttp3.CacheControl",0.938267813267813,0.972148978246539,0.000000000144358765953322,0.102549889135255,"large"
"org.apache.bcel.verifier.structurals.InstConstraintVisitor",0.0934662236987818,0.209704016913319,0.00000000000000137106724054155,0,"large"
"com.google.gson.stream.JsonReader",0.731002281151982,0.738248502994012,0.370355096207296,0.442261904761905,"negligible"
"org.databene.jdbacl.SQLUtil",0.900500561855143,0.950199203187251,0.00000000297970582694196,0.116910866910867,"large"
"wheel.asm.ClassReader",0.523316970546985,0.596691902567479,0.00186142419179855,0.222826086956522,"large"
"okio.RealBufferedSink",0.844632768361582,0.882877009995654,0.0000000474902500638509,0.157264957264957,"large"
"org.javathena.login.Login",0.656761611496023,0.678091538946042,0.0000000176355596791683,0.153535353535354,"large"
"com.google.gson.internal.LinkedHashTreeMap",0.636477572559367,0.672284745032578,0.000358418768626983,0.279081632653061,"medium"
"umd.cs.shop.JSJshop",0.306775067750677,0.498844444444444,0.00000000000000275316301618571,0.0173170731707317,"large"
"wheel.util.DynamicSelectModel",0.818803418803419,0.883809523809524,0.00000429992410267079,0.216902145473574,"large"
"com.google.re2j.Compiler",0.793031358885017,0.751735078326393,0.0281200556327114,0.647038327526132,"small"
"us.codecraft.webmagic.utils.DoubleKeyMap",0.936234058514629,0.957706093189964,0.00604842206759718,0.354521963824289,"small"
"com.google.re2j.CharClass",0.948721590909091,0.945873205741627,0.355675402049688,0.560197368421053,"negligible"
"org.mozilla.javascript.Parser",0.385851598478913,0.430166142253041,0.00000000000428835571419008,0.0606920022688599,"large"
"okio.Okio",0.668806848582129,0.562065275548422,0.0000270819041294315,0.765589569160998,"large"
"org.objectweb.asm.jip.MethodWriter",0.341642905065414,0.554174354243542,0.00000000000000842896789587131,0.00738636363636364,"large"
"com.google.re2j.Regexp",0.667044809982984,0.655700510493477,0.373226183106708,0.555976203353164,"negligible"
"com.pmdesigns.jvc.tools.JVCParser",0.523733849236509,0.592067988668555,0.00000000000000686736062495574,0.0241463414634146,"large"
"org.databene.jdbacl.DBUtil",0.649691358024691,0.793784094171691,0.000000000000000571236240120588,0.00151668351870576,"large"
"org.freehep.math.minuit.MnAlgebraicSymMatrix",0.953458306399483,0.945916828269769,0.047879435154718,0.619986850756082,"small"
"com.google.re2j.Simplify",0.405133928571429,0.439405487804878,0.667864042187776,0.472415795586527,"negligible"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",0.63697705802969,0.694000626566416,0.0000000000338666568135154,0.0726495726495727,"large"
"com.alibaba.fastjson.util.ASMUtils",0.374210526315789,0.378947368421053,0.0000107426379369895,0.275,"medium"
"com.alibaba.fastjson.util.IOUtils",0.760196139476961,0.800015928639694,0.0000000000882750287737182,0.0964587737843552,"large"
"org.la4j.decomposition.EigenDecompositor",0.792354312354312,0.816536404771699,0.323545465027511,0.408235294117647,"small"
"org.jsecurity.web.DefaultWebSecurityManager",0.718134957825679,0.794501718213058,0.000000000000000186553581416682,0,"large"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",0.264693264693265,0.298083798083798,0.00144708035960611,0.285609934258583,"medium"
"com.alibaba.fastjson.serializer.DateCodec",0.597523744911805,0.691471215351812,0.00000000314568790074768,0.11038961038961,"large"
"com.google.re2j.Parser",0.701956864170605,0.686871440688235,0.0801794203871897,0.611111111111111,"small"
"weka.classifiers.Evaluation",0.476197387518142,0.606303130831433,0.000000000000109395123681657,0,"large"
"okio.Buffer",0.751711282239335,0.836110440312324,0.000000000000138735080289774,0.00880758807588076,"large"
"us.codecraft.webmagic.Site",0.945054945054945,0.945054945054945,NA,0.5,"negligible"
"okhttp3.internal.tls.OkHostnameVerifier",0.33971151015602,0.366499852811304,0.00000000000000000105819318376028,0.0105462412114657,"large"
"com.google.re2j.Unicode",0.886075949367089,0.886075949367089,NA,0.5,"negligible"
"umd.cs.shop.JSState",0.545639534883721,0.584294871794872,0.00000000000188312599802546,0.0748360166964818,"large"
"us.codecraft.webmagic.Spider",0.672368421052632,0.680868838763576,0.136011128180519,0.322222222222222,"medium"
"okhttp3.internal.tls.DistinguishedNameParser",0.159474671669794,0.251025641025641,0.00117702954123188,0.317560975609756,"medium"
"com.alibaba.fastjson.util.TypeUtils",0.595200798719295,0.60713647617346,0.00544931884257659,0.305533279871692,"medium"
"okio.Segment",0.853658536585366,1,0.00000000000000172002595462448,0,"large"
"com.google.gson.internal.LinkedTreeMap",0.615841248303935,0.800606343283582,0.000000000000891368501225002,0.0669981060606061,"large"
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0.715024741340531,0.719298245614035,0.000146659952834026,0.26281163434903,"large"
"org.la4j.linear.ForwardBackSubstitutionSolver",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnMinos",0.547122602168474,0.917189763399324,0.000000000000259494038093195,0.0451555023923445,"large"
"com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager",0.417099898063201,0.54716354929711,0.000000000000190807008854705,0.0305232558139535,"large"
"org.la4j.decomposition.SingularValueDecompositor",0.979830839297333,0.994795055302537,0.0775284335863692,0.414387633769322,"small"
"weka.classifiers.CheckClassifier",0.866207951070336,0.890636376874909,0.000781330956672688,0.278108465608466,"medium"
"com.alibaba.fastjson.serializer.StringCodec",0.752217294900222,0.874274661508704,0.00000000000010527027122051,0.0417747794499222,"large"
"org.la4j.matrix.dense.Basic1DMatrix",0.937092264678472,0.96551724137931,0.00114299588083491,0.0540540540540541,"large"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",0.778886385580946,0.847212849237414,0.000000000582642719614649,0.0665839536807279,"large"
"org.la4j.vector.sparse.CompressedVector",0.930422647527911,0.949561403508772,0.155715854697354,0.181818181818182,"large"
"com.alibaba.fastjson.parser.JSONLexerBase",0.23294309458572,0.274663451878642,0.000000234950956831849,0.0991140642303433,"large"
"org.la4j.matrix.sparse.CRSMatrix",0.88625304136253,0.914146680570038,0.0783271906806715,0.196428571428571,"large"
