"class","random","pdynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.85,1,0.00000000448672998699015,0.175,"large"
"net.kencochrane.a4j.file.FileUtil",0.595689033189033,0.963834776334776,0.0000000000000000718928553241843,0,"large"
"net.kencochrane.a4j.DAO.Product",0.950617283950617,1,0.00340830753711166,0.402777777777778,"small"
"wheel.asm.Frame",0.833010960670535,0.99931129476584,0.00000000000000000323974305041473,0,"large"
"weka.classifiers.rules.JRip",0.485837922895358,0.86191974822974,0.00000000000000344076537048054,0,"large"
"org.apache.commons.math3.ode.AbstractIntegrator",0.272727272727273,0.51843895452918,0.00000000000000129859302082823,0,"large"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.526737967914438,0.93202614379085,0.0000000000000000233621440861397,0,"large"
"wheel.components.Component",0.248508386806259,0.804647408176209,0.00000000000000442980720316763,0,"large"
"org.firebirdsql.jdbc.FBCachedFetcher",0.64390243902439,1,0.0000000000000000540530600510782,0,"large"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.768619934282585,1,0.000000000000000010696559003299,0,"large"
"org.apache.bcel.classfile.Utility",0.599250936329588,0.919017894298793,0.00000000000000134846170136139,0,"large"
"weka.filters.unsupervised.attribute.Discretize",0.405952380952381,0.807102272727273,0.00000000000000084633354746108,0,"large"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",0.639685895499849,0.92237994563576,0.00000000000000113232084654409,0,"large"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.615384615384615,1,0.00000000000000176452598901108,0.0641025641025641,"large"
"weka.core.Optimization",0.187675070028011,0.254901960784314,0.000000000000287701147480825,0,"large"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.825925925925926,1,0.0000000000801133077393681,0.155555555555556,"large"
"wheel.json.JSONObject",0.543127962085308,0.876487087726086,0.0000000000000000196653820936262,0,"large"
"weka.core.stemmers.LovinsStemmer",0.988304093567251,1,0.0673258613039181,0.460526315789474,"negligible"
"org.apache.commons.math3.ode.MultistepIntegrator",0.216611295681063,0.441114982578397,0.000000000000000692777981180909,0,"large"
"com.werken.saxpath.XPathLexer",0.834444444444444,0.942553191489362,0.0000000000000000332605968023121,0.0148936170212766,"large"
"okhttp3.internal.http.HttpHeaders",0.244613943530041,0.43176831943835,0.0000000000000000936733829209764,0,"large"
"umd.cs.shop.JSTerm",0.651136363636364,0.863636363636364,0.000000000000000147019510693465,0,"large"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.545918367346939,0.95370831259333,0.000000000000000285002915036197,0,"large"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.469870327993898,0.982884039366709,0.000000000000000716952154264486,0,"large"
"wheel.asm.FieldWriter",0.631493506493507,0.785714285714286,0.0000000000000000192095641915957,0.0113636363636364,"large"
"org.apache.commons.jxpath.ri.compiler.Path",0.495227995758218,0.842601954836535,0.0000000000000025984489988404,0,"large"
"org.la4j.linear.GaussianSolver",0.245726495726496,0.615384615384615,0.0000000011647573558627,0,"large"
"weka.classifiers.functions.supportVector.RegSMO",0.788961038961039,0.975279106858054,0.00000000000000509494381159735,0,"large"
"org.freehep.math.minuit.MnLineSearch",0.89037037037037,1,0.00000000000000169814023836368,0.0555555555555556,"large"
"com.alibaba.fastjson.util.JavaBeanInfo",0.477465986394558,0.615868506493507,0.0000000000000000131505939358088,0,"large"
