"class","random","adynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",1,1,NA,0.5,"negligible"
"net.kencochrane.a4j.file.FileUtil",1,1,NA,0.5,"negligible"
"net.kencochrane.a4j.DAO.Product",1,1,NA,0.5,"negligible"
"wheel.asm.Frame",0.996960486322188,1,0.344368503382737,0.48936170212766,"negligible"
"weka.classifiers.rules.JRip",1,1,NA,0.5,"negligible"
"org.apache.commons.math3.ode.AbstractIntegrator",1,1,NA,0.5,"negligible"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",1,1,NA,0.5,"negligible"
"wheel.components.Component",1,0.999760879961741,0.323141129418287,0.51219512195122,"negligible"
"org.firebirdsql.jdbc.FBCachedFetcher",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",1,1,NA,0.5,"negligible"
"org.apache.bcel.classfile.Utility",1,0.999610136452242,0.351729226999197,0.511111111111111,"negligible"
"weka.filters.unsupervised.attribute.Discretize",1,0.998917748917749,0.340212069604162,0.511363636363636,"negligible"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",1,0.99290780141844,0.37477237236025,0.51063829787234,"negligible"
"weka.core.Optimization",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",1,1,NA,0.5,"negligible"
"wheel.json.JSONObject",1,0.999183673469388,0.348748804164839,0.510204081632653,"negligible"
"weka.core.stemmers.LovinsStemmer",1,1,NA,0.5,"negligible"
"org.apache.commons.math3.ode.MultistepIntegrator",1,1,NA,0.5,"negligible"
"com.werken.saxpath.XPathLexer",1,1,NA,0.5,"negligible"
"okhttp3.internal.http.HttpHeaders",0.997872340425532,1,0.350171591148522,0.48936170212766,"negligible"
"umd.cs.shop.JSTerm",0.995392156862745,0.990771836983606,0.14576045072395,0.556875,"negligible"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.99802371541502,0.997782705099778,0.518541896755591,0.512990455991516,"negligible"
"wheel.asm.FieldWriter",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",0.996515679442509,0.998211091234347,0.972969977682162,0.499149177538287,"negligible"
"org.la4j.linear.GaussianSolver",1,1,NA,0.5,"negligible"
"weka.classifiers.functions.supportVector.RegSMO",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnLineSearch",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",1,1,NA,0.5,"negligible"
"org.firebirdsql.jdbc.FBProcedureCall",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.SimplexBuilder",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnHesse",1,1,NA,0.5,"negligible"
"okio.RealBufferedSource",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnFunctionCross",1,1,NA,0.5,"negligible"
"org.apache.bcel.util.Class2HTML",0.996124031007752,1,0.317185490697056,0.488372093023256,"negligible"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.984659310878823,0.995867768595041,0.175093230043541,0.458980044345898,"negligible"
"org.apache.bcel.generic.ConstantPoolGen",0.998449612403101,1,0.340766919511887,0.488372093023256,"negligible"
"okio.Utf8",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",1,1,NA,0.5,"negligible"
"okhttp3.HttpUrl",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.formats.tiff.TiffField",1,1,NA,0.5,"negligible"
"okio.SegmentedByteString",0.998257839721254,1,0.317173297358509,0.48780487804878,"negligible"
"com.alibaba.fastjson.parser.DefaultJSONParser",0.976068376068376,1,0.452184262697138,0.487179487179487,"negligible"
"accessories.plugins.time.JDayChooser",1,1,NA,0.5,"negligible"
