"class","dynamosa","adynamosa","p-value","d","magnitude"
"com.google.re2j.Utils",0.719,0.72,0.317166520523124,0.4875,"negligible"
"okhttp3.CacheControl",0.822478991596639,0.807491289198606,0.0361281771772637,0.63558106169297,"small"
"org.apache.bcel.verifier.structurals.InstConstraintVisitor",1,1,NA,0.5,"negligible"
"com.google.gson.stream.JsonReader",0.602678571428571,0.571875,0.052044807674065,0.623809523809524,"small"
"org.databene.jdbacl.SQLUtil",0.578094777562863,0.574721377912867,0.0658242254934201,0.606872294372294,"small"
"wheel.asm.ClassReader",0.5325,0.533928571428571,1,0.503571428571429,"negligible"
"okio.RealBufferedSink",0.492063492063492,0.490842490842491,0.16555448097166,0.525641025641026,"negligible"
"org.javathena.login.Login",0.276134122287968,0.282925407925408,0.100801187958324,0.396853146853147,"small"
"com.google.gson.internal.LinkedHashTreeMap",0.527259684361549,0.533613445378151,0.524653213279675,0.461672473867596,"negligible"
"umd.cs.shop.JSJshop",0.190178571428571,0.185714285714286,0.11151422360066,0.587,"small"
"wheel.util.DynamicSelectModel",0.543537414965986,0.559766763848397,0.0287779769898591,0.371963070942663,"small"
"com.google.re2j.Compiler",0.5,0.5,NA,0.5,"negligible"
"us.codecraft.webmagic.utils.DoubleKeyMap",0.55,0.506666666666667,0.0333396135795895,0.630490956072351,"small"
"com.google.re2j.CharClass",0.453246753246753,0.457142857142857,0.021696633416416,0.431818181818182,"negligible"
"org.mozilla.javascript.Parser",0.43125,0.428048780487805,0.114666254671188,0.592624854819977,"small"
"okio.Okio",0.418498168498169,0.413003663003663,0.131530889750411,0.568310657596372,"negligible"
"org.objectweb.asm.jip.MethodWriter",0.710884353741497,0.713095238095238,0.66231109151786,0.479464285714286,"negligible"
"com.google.re2j.Regexp",0.75,0.767441860465116,0.306961015025095,0.4421926910299,"negligible"
"com.pmdesigns.jvc.tools.JVCParser",0.576719576719577,0.571111111111111,0.520129577306377,0.525238095238095,"negligible"
"org.databene.jdbacl.DBUtil",0.175980392156863,0.172457820337437,0.15044805728768,0.591279069767442,"small"
"org.freehep.math.minuit.MnAlgebraicSymMatrix",0.548863636363636,0.551282051282051,0.528896280855154,0.474038461538462,"negligible"
"com.google.re2j.Simplify",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",0.6,0.6,NA,0.5,"negligible"
"com.alibaba.fastjson.util.ASMUtils",0.333333333333333,0.333333333333333,NA,0.5,"negligible"
"com.alibaba.fastjson.util.IOUtils",0.665993265993266,0.666666666666667,0.33968285576389,0.488888888888889,"negligible"
"org.la4j.decomposition.EigenDecompositor",0.6,0.6,NA,0.5,"negligible"
"org.jsecurity.web.DefaultWebSecurityManager",0.379310344827586,0.378544061302682,0.351729226999197,0.511111111111111,"negligible"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",0.0534336419753086,0.0512178845512179,0.252690421243619,0.532939189189189,"negligible"
"com.alibaba.fastjson.serializer.DateCodec",0.6,0.6,NA,0.5,"negligible"
"com.google.re2j.Parser",0.562790697674419,0.566666666666667,0.820976007186569,0.49031007751938,"negligible"
"weka.classifiers.Evaluation",0.23189448441247,0.223946557040082,0.151525738059352,0.603809523809524,"small"
"okio.Buffer",0.461904761904762,0.449643271942924,0.0765919298218219,0.623983739837398,"small"
"us.codecraft.webmagic.Site",0.896935933147632,0.896935933147632,NA,0.5,"negligible"
"okhttp3.internal.tls.OkHostnameVerifier",0.4,0.390697674418605,0.0405934091356812,0.546511627906977,"negligible"
"com.google.re2j.Unicode",1,1,NA,0.5,"negligible"
"umd.cs.shop.JSState",0.466666666666667,0.471153846153846,0.22593004872966,0.455128205128205,"negligible"
"us.codecraft.webmagic.Spider",0.514164904862579,0.500258397932817,0.516366831160897,0.590909090909091,"small"
"okhttp3.internal.tls.DistinguishedNameParser",0.515873015873016,0.52,0.831982445130669,0.488571428571429,"negligible"
"com.alibaba.fastjson.util.TypeUtils",0.449040032679739,0.494365562316881,0.00000432164044135618,0.156788793103448,"large"
"okio.Segment",0.6,0.6,NA,0.5,"negligible"
"com.google.gson.internal.LinkedTreeMap",0.704545454545455,0.686827956989247,0.236595181289243,0.57125946969697,"negligible"
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0.0775193798449612,0.100877192982456,0.212017163105871,0.429926560587515,"negligible"
"org.la4j.linear.ForwardBackSubstitutionSolver",0.666666666666667,0.656862745098039,0.363081723558431,0.529411764705882,"negligible"
"org.freehep.math.minuit.MnMinos",0.49385155906895,0.463196033562166,0.212639404177715,0.58652312599681,"small"
"com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager",0.5,0.5,NA,0.5,"negligible"
"org.la4j.decomposition.SingularValueDecompositor",0.4,0.4,NA,0.5,"negligible"
"weka.classifiers.CheckClassifier",0.271053842613898,0.294025157232704,0.0319083596489646,0.36411149825784,"small"
"com.alibaba.fastjson.serializer.StringCodec",0.714285714285714,0.714285714285714,NA,0.5,"negligible"
"org.la4j.matrix.dense.Basic1DMatrix",0.521333333333333,0.5248,0.849986369228298,0.45,"negligible"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",0.856481481481482,0.849462365591398,0.557899612459538,0.546370967741935,"negligible"
"org.la4j.vector.sparse.CompressedVector",0.530701754385965,0.5,0.333333333333333,1,"large"
"com.alibaba.fastjson.parser.JSONLexerBase",0.305882352941176,0.301774042950514,0.700855592244025,0.595238095238095,"small"
"org.la4j.matrix.sparse.CRSMatrix",0.432704402515723,0.449685534591195,0.104429187340605,0.242857142857143,"large"
