"class","dynamosa","adynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.283516483516483,0.341312741312741,0.0606725998875265,0.396742896742897,"small"
"net.kencochrane.a4j.file.FileUtil",0.500425531914894,0.504545454545455,0.419471680546889,0.452127659574468,"negligible"
"net.kencochrane.a4j.DAO.Product",0.0952006294256491,0.0928402832415421,0.242485707575629,0.536585365853659,"negligible"
"wheel.asm.Frame",0.745732433505359,0.714635437342861,0.000000247733856680493,0.819473140495868,"large"
"weka.classifiers.rules.JRip",0.275534188034188,0.275328330206379,0.727972695239315,0.521951219512195,"negligible"
"org.apache.commons.math3.ode.AbstractIntegrator",0.727297895902547,0.658446712018141,0.0686468384071052,0.613787375415282,"small"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.927212572373863,0.936917562724014,0.487520724410136,0.456410256410256,"negligible"
"wheel.components.Component",0.765989583333333,0.766565040650407,0.842593182122725,0.513109756097561,"negligible"
"org.firebirdsql.jdbc.FBCachedFetcher",0.524502579218865,0.510128152128979,0.0815458392361721,0.600477200424178,"small"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.821333775713338,0.818536750976065,0.48487310419781,0.543604651162791,"negligible"
"org.apache.bcel.classfile.Utility",0.877272265664669,0.875642891800097,0.387124574749723,0.55374677002584,"negligible"
"weka.filters.unsupervised.attribute.Discretize",0.510481757710139,0.52160030052592,0.443553455517507,0.45149667405765,"negligible"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",0.812027430982944,0.803863155871613,0.0950271068276879,0.600940128649184,"small"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.880528955768354,0.891113892365457,0.0682578213105348,0.396091044037605,"small"
"weka.core.Optimization",0.0825892857142857,0.0825892857142857,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.873809523809524,0.841666666666667,0.058427268732285,0.613662131519274,"small"
"wheel.json.JSONObject",0.867602040816327,0.86484798000833,0.436599125136571,0.548214285714286,"negligible"
"weka.core.stemmers.LovinsStemmer",0.680449902195175,0.688028482421006,0.0063881061245515,0.328626799557032,"medium"
"org.apache.commons.math3.ode.MultistepIntegrator",0.866666666666667,0.866666666666667,NA,0.5,"negligible"
"com.werken.saxpath.XPathLexer",0.876304915180513,0.873527343063126,0.0841098787630624,0.609182530795073,"small"
"okhttp3.internal.http.HttpHeaders",0.828063241106719,0.823618242222893,0.449308769174601,0.546258847320526,"negligible"
"umd.cs.shop.JSTerm",0.737446581196581,0.744921875,0.41520112855031,0.446474358974359,"negligible"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.386346396965866,0.389966390182233,0.628214638607149,0.469376693766938,"negligible"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.78108228980322,0.772279549718574,0.0910572944872302,0.606636415201361,"small"
"wheel.asm.FieldWriter",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",0.932480141218005,0.930909911944006,0.90666760585567,0.507135306553911,"negligible"
"org.la4j.linear.GaussianSolver",1,1,NA,0.5,"negligible"
"weka.classifiers.functions.supportVector.RegSMO",0.642787910829148,0.638813528667028,0.176058701577051,0.58940620782726,"small"
"org.freehep.math.minuit.MnLineSearch",0.963659147869674,0.965311004784689,0.135955357034636,0.421536796536797,"small"
"com.alibaba.fastjson.util.JavaBeanInfo",0.413245895074089,0.410342410893072,0.00307265085686347,0.679752066115702,"medium"
"org.firebirdsql.jdbc.FBProcedureCall",0.896258503401361,0.895871985157699,0.74539530355146,0.519751082251082,"negligible"
"org.freehep.math.minuit.SimplexBuilder",0.92034632034632,0.915856236786469,0.195234212868097,0.568383167220377,"negligible"
"org.freehep.math.minuit.MnHesse",0.983719983719984,0.972306653157717,0.181558702101009,0.578832515002728,"small"
"okio.RealBufferedSource",0.730742296918767,0.723813209494324,0.798365926996126,0.516917293233083,"negligible"
"org.freehep.math.minuit.MnFunctionCross",0.893421795595709,0.896894409937888,0.8980097932009,0.491919191919192,"negligible"
"org.apache.bcel.util.Class2HTML",0.830188679245283,0.826415094339623,0.0414443588385422,0.592682926829268,"small"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.648636878320704,0.597208035410283,0.143761207336702,0.590644820295983,"small"
"org.apache.bcel.generic.ConstantPoolGen",0.811029072450392,0.794478147827164,0.00629738866112396,0.671840354767184,"medium"
"okio.Utf8",0.444444444444444,0.444444444444444,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",0.899859943977591,0.90266106442577,0.594106608645368,0.466269841269841,"negligible"
"okhttp3.HttpUrl",0.859813444341659,0.847344750043245,0.0108350478569798,0.659066808059385,"small"
"org.apache.commons.imaging.formats.tiff.TiffField",0.868135326514555,0.86494623655914,0.0000206977595193523,0.723577235772358,"medium"
