"class","dynamosa","adynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.0428904428904429,0.0724815724815725,0.0626797143820347,0.397435897435897,"small"
"net.kencochrane.a4j.file.FileUtil",0.186374570848028,0.185161161560722,0.286698819611874,0.565038684719536,"negligible"
"net.kencochrane.a4j.DAO.Product",0.221138211382114,0.222764227642276,0.856762245872353,0.510410469958358,"negligible"
"wheel.asm.Frame",0.0978648724287513,0.0875274033303792,0.00195913173948416,0.691890495867769,"medium"
"weka.classifiers.rules.JRip",0.24306784660767,0.238026716550351,0.190013093532158,0.582384823848239,"small"
"org.apache.commons.math3.ode.AbstractIntegrator",0.320360702420503,0.298955296404276,0.00186022747490843,0.695736434108527,"medium"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.595251661918329,0.613168724279835,0.253495140247308,0.427350427350427,"negligible"
"wheel.components.Component",0.294029850746269,0.296768191562513,0.612948911157379,0.467073170731707,"negligible"
"org.firebirdsql.jdbc.FBCachedFetcher",0.611801242236025,0.588020574083292,0.044667636779222,0.625397667020148,"small"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.26156704274246,0.236734750513404,0.0199999294228496,0.645084566596195,"small"
"org.apache.bcel.classfile.Utility",0.599440581794933,0.593554791905307,0.324578316356886,0.561240310077519,"negligible"
"weka.filters.unsupervised.attribute.Discretize",0.242574787468682,0.24245749860324,0.978943364747739,0.501940133037694,"negligible"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",0.0766057650556131,0.0710452338359315,0.306595959678904,0.562840178129639,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.297919216646267,0.31431131019037,0.286231448902387,0.434438396833251,"negligible"
"weka.core.Optimization",0.157889017676036,0.155012004801921,0.592667123146117,0.541871921182266,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.331811958010041,0.309980222120797,0.169465569483099,0.587301587301587,"small"
"wheel.json.JSONObject",0.47059585492228,0.466955694194776,0.506468920284498,0.541326530612245,"negligible"
"weka.core.stemmers.LovinsStemmer",0.74830053667263,0.759981684981685,0.0212400834002943,0.354928017718715,"small"
"org.apache.commons.math3.ode.MultistepIntegrator",0.358979188247481,0.373481495432715,0.0596912901954555,0.379238548483046,"small"
"com.werken.saxpath.XPathLexer",0.598394696909193,0.590611177477158,0.0830893705144679,0.610022396416573,"small"
