"class","dynamosa","pdynamosa","p-value","d","magnitude"
"wheel.asm.ClassReader",0.888333333333333,0.880952380952381,1,0.503571428571429,"negligible"
"okio.RealBufferedSink",0.869674185463659,0.871306471306471,0.50268734521414,0.460863697705803,"negligible"
"org.javathena.login.Login",0.618141714915909,0.601417399804497,0.0490239975840191,0.625874125874126,"small"
"com.google.gson.internal.LinkedHashTreeMap",1,1,NA,0.5,"negligible"
"umd.cs.shop.JSJshop",0.224278846153846,0.226153846153846,0.524044860555597,0.46175,"negligible"
"wheel.util.DynamicSelectModel",0.888278388278388,0.897435897435897,0.0294667282820663,0.376093294460641,"small"
"com.google.re2j.Compiler",1,1,NA,0.5,"negligible"
"us.codecraft.webmagic.utils.DoubleKeyMap",0.797040169133192,0.811447811447812,0.160084763372694,0.444444444444444,"negligible"
"com.google.re2j.CharClass",0.923701298701299,0.956766917293233,0.000000477205403733427,0.134569377990431,"large"
"org.mozilla.javascript.Parser",0.860888175494917,0.867360920800219,0.393839094542879,0.445993031358885,"negligible"
"okio.Okio",0.755555555555556,0.763174603174603,0.00000429381312918275,0.221938775510204,"large"
"org.objectweb.asm.jip.MethodWriter",0.978494623655914,0.973732718894009,0.122887031511227,0.597321428571429,"small"
"com.google.re2j.Regexp",0.990476190476191,0.992248062015504,0.897811762290178,0.49734219269103,"negligible"
"com.pmdesigns.jvc.tools.JVCParser",1,0.998095238095238,0.19781097934322,0.52,"negligible"
"org.databene.jdbacl.DBUtil",0.663827433628319,0.682753653015024,0.0000122078498959193,0.22093023255814,"large"
"org.freehep.math.minuit.MnAlgebraicSymMatrix",1,1,NA,0.5,"negligible"
"com.google.re2j.Simplify",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",0.563399778516058,0.547895902547065,0.000311993868831032,0.722789115646258,"medium"
"com.alibaba.fastjson.util.ASMUtils",0.468085106382979,0.468085106382979,NA,0.5,"negligible"
"com.alibaba.fastjson.util.IOUtils",0.651897860593513,0.652173913043478,0.169356130340662,0.477777777777778,"negligible"
"org.la4j.decomposition.EigenDecompositor",0.620192307692308,0.625,0.446631748130516,0.480769230769231,"negligible"
"org.jsecurity.web.DefaultWebSecurityManager",0.723979715044675,0.71991199119912,0.0688791757189212,0.608130081300813,"small"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",0.423032407407407,0.443693693693694,0.483455560427896,0.456925675675676,"negligible"
"com.alibaba.fastjson.serializer.DateCodec",0.928152492668622,0.924423963133641,0.220036900615576,0.558116883116883,"negligible"
"com.google.re2j.Parser",1,1,NA,0.5,"negligible"
"weka.classifiers.Evaluation",0.622460317460317,0.606122448979592,0.20630961843579,0.591904761904762,"small"
"okio.Buffer",0.797345132743363,0.804662205914095,0.624324073050929,0.465447154471545,"negligible"
"us.codecraft.webmagic.Site",1,1,NA,0.5,"negligible"
"okhttp3.internal.tls.OkHostnameVerifier",0.448275862068966,0.448275862068966,NA,0.5,"negligible"
"com.google.re2j.Unicode",1,1,NA,0.5,"negligible"
"umd.cs.shop.JSState",0.931818181818182,0.931818181818182,NA,0.5,"negligible"
"us.codecraft.webmagic.Spider",0.823863636363636,0.829861111111111,0.339541040137177,0.368686868686869,"small"
"okhttp3.internal.tls.DistinguishedNameParser",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.TypeUtils",0.582226247987118,0.596646121383753,0.0438067763020043,0.349137931034483,"small"
"okio.Segment",1,1,NA,0.5,"negligible"
"com.google.gson.internal.LinkedTreeMap",1,1,NA,0.5,"negligible"
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0.394736842105263,0.394736842105263,NA,0.5,"negligible"
"org.la4j.linear.ForwardBackSubstitutionSolver",0.615384615384615,0.615384615384615,NA,0.5,"negligible"
"org.freehep.math.minuit.MnMinos",1,1,NA,0.5,"negligible"
"com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager",0.879292929292929,0.871458773784355,0.396502769772135,0.541989664082687,"negligible"
"org.la4j.decomposition.SingularValueDecompositor",0.625,0.625,NA,0.5,"negligible"
"weka.classifiers.CheckClassifier",0.771894351067863,0.788860103626943,0.0259833870711394,0.358304297328688,"small"
"com.alibaba.fastjson.serializer.StringCodec",0.863143631436314,0.856772184743124,0.301814974823623,0.564420803782506,"negligible"
"org.la4j.matrix.dense.Basic1DMatrix",0.917808219178082,0.917808219178082,NA,0.5,"negligible"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",0.98468137254902,0.993833017077799,0.144092586829186,0.403225806451613,"small"
"org.la4j.vector.sparse.CompressedVector",0.970238095238095,0.976190476190476,0.617075077451974,0.25,"large"
"com.alibaba.fastjson.parser.JSONLexerBase",0.693181818181818,0.657828282828283,0.229716733279843,0.773809523809524,"large"
"org.la4j.matrix.sparse.CRSMatrix",0.88586387434555,0.911368735976066,0.017576619681039,0.128571428571429,"large"
