"class","dynamosa","adynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.487682252388135,0.543190249072602,0.0648962525707858,0.398475398475398,"small"
"net.kencochrane.a4j.file.FileUtil",0.719589963645032,0.723389355742297,0.520916395401458,0.460831721470019,"negligible"
"net.kencochrane.a4j.DAO.Product",0.302517702596381,0.296616837136113,0.242485707575629,0.536585365853659,"negligible"
"wheel.asm.Frame",0.450812472551603,0.419191919191919,0.000216731908044435,0.729080578512397,"medium"
"weka.classifiers.rules.JRip",0.369235618597321,0.369140287147552,0.50765699648647,0.541734417344173,"negligible"
"org.apache.commons.math3.ode.AbstractIntegrator",0.780417930569599,0.710662525879917,0.177428077347723,0.583610188261351,"small"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.961063627730294,0.96358024691358,0.446760518294805,0.454985754985755,"negligible"
"wheel.components.Component",0.874009900990099,0.866698865008452,0.0104131401297004,0.665548780487805,"medium"
"org.firebirdsql.jdbc.FBCachedFetcher",0.64873417721519,0.632602655140475,0.113478381311751,0.596235418875928,"small"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.937156064274708,0.935581958443606,0.749723333447966,0.520084566596195,"negligible"
"org.apache.bcel.classfile.Utility",0.759764317278936,0.759223715077842,0.789240520065569,0.516795865633075,"negligible"
"weka.filters.unsupervised.attribute.Discretize",0.629466051417271,0.638083538083538,0.350324533708691,0.440964523281596,"negligible"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",0.868541033434651,0.863938387194201,0.0462992635347966,0.619990103908956,"small"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.946934460887949,0.952998065764023,0.0682578213105348,0.396091044037605,"small"
"weka.core.Optimization",0.0951612903225806,0.0951612903225806,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.881232492997199,0.843417366946779,0.0216843629715084,0.64172335600907,"small"
"wheel.json.JSONObject",0.912534435261708,0.909484454939,0.202329154117428,0.578826530612245,"small"
"weka.core.stemmers.LovinsStemmer",0.881791876540564,0.886109282422647,0.00430799454543077,0.324197120708749,"medium"
"org.apache.commons.math3.ode.MultistepIntegrator",0.952863798300904,0.951219512195122,0.138804084777935,0.573170731707317,"negligible"
"com.werken.saxpath.XPathLexer",0.926210526315789,0.925276595744681,0.510328137676591,0.541433370660694,"negligible"
