"class","dynamosa","pdynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.1002331002331,0.154791154791155,0.0648962525707858,0.398475398475398,"small"
"net.kencochrane.a4j.file.FileUtil",0.871657879871964,0.874673169750603,0.629117979529877,0.470502901353965,"negligible"
"net.kencochrane.a4j.DAO.Product",0.533333333333333,0.533333333333333,NA,0.5,"negligible"
"wheel.asm.Frame",0.460100346434118,0.428562895711385,0.0000098481183355458,0.773760330578512,"large"
"weka.classifiers.rules.JRip",0.569072395658498,0.562842335371994,0.0397167225671444,0.6289972899729,"small"
"org.apache.commons.math3.ode.AbstractIntegrator",0.926061678463094,0.909549689440994,0.00376151644180238,0.679955703211517,"medium"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.986301369863014,0.986301369863014,NA,0.5,"negligible"
"wheel.components.Component",0.748462214411248,0.751725320416649,0.765788417499723,0.480487804878049,"negligible"
"org.firebirdsql.jdbc.FBCachedFetcher",0.952700162886856,0.93463133478597,0.00505662152615774,0.662248144220573,"small"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.936275659824047,0.933893473368342,0.166943713665357,0.585359408033827,"small"
"org.apache.bcel.classfile.Utility",0.86602234974328,0.865945165945166,0.970016989633867,0.497416020671835,"negligible"
"weka.filters.unsupervised.attribute.Discretize",0.624533917148428,0.634801734030346,0.241637884654181,0.4259977827051,"small"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",0.951994310436793,0.948565135712898,0.963785080670358,0.502968827313211,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.959783570053587,0.962539863867866,0.0639456678995162,0.394359228104899,"small"
"weka.core.Optimization",0.278617710583153,0.278617710583153,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.912754501093724,0.886000336530372,0.0456825656180034,0.625566893424036,"small"
"wheel.json.JSONObject",0.905901426718547,0.90648243733291,0.858764342344401,0.488775510204082,"negligible"
"weka.core.stemmers.LovinsStemmer",0.912254025044723,0.917490842490843,0.0240969791526971,0.370431893687708,"small"
"org.apache.commons.math3.ode.MultistepIntegrator",0.863309352517986,0.863309352517986,NA,0.5,"negligible"
"com.werken.saxpath.XPathLexer",0.800015973165083,0.79637103283505,0.291439820766649,0.566909294512878,"negligible"
"okhttp3.internal.http.HttpHeaders",0.832737414187643,0.824433904528764,0.17345345820138,0.583923154701719,"small"
"umd.cs.shop.JSTerm",0.762389571213101,0.769905462184874,0.953054541429895,0.504166666666667,"negligible"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.418317757009346,0.427307955322544,0.525058886483557,0.459891598915989,"negligible"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.911332818098785,0.907707611819321,0.0692850317848713,0.615144639818491,"small"
