"class","dynamosa","adynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",1,1,NA,0.5,"negligible"
"net.kencochrane.a4j.file.FileUtil",1,1,NA,0.5,"negligible"
"net.kencochrane.a4j.DAO.Product",1,1,NA,0.5,"negligible"
"wheel.asm.Frame",1,1,NA,0.5,"negligible"
"weka.classifiers.rules.JRip",1,1,NA,0.5,"negligible"
"org.apache.commons.math3.ode.AbstractIntegrator",1,1,NA,0.5,"negligible"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",1,1,NA,0.5,"negligible"
"wheel.components.Component",0.999598405132299,0.999760879961741,0.0981570642452621,0.451219512195122,"negligible"
"org.firebirdsql.jdbc.FBCachedFetcher",0.998641304347826,1,0.357017746001765,0.489130434782609,"negligible"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",1,1,NA,0.5,"negligible"
"org.apache.bcel.classfile.Utility",1,0.999610136452242,0.33968285576389,0.511111111111111,"negligible"
"weka.filters.unsupervised.attribute.Discretize",0.979977266425207,0.998917748917749,0.0000000100928241480196,0.20149667405765,"large"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.957364341085271,0.99290780141844,0.0400467545739023,0.441365660564077,"negligible"
"weka.core.Optimization",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.996598639455782,1,0.328970081907491,0.488095238095238,"negligible"
"wheel.json.JSONObject",0.997277540698593,0.999183673469388,0.118657727712728,0.461224489795918,"negligible"
"weka.core.stemmers.LovinsStemmer",1,1,NA,0.5,"negligible"
"org.apache.commons.math3.ode.MultistepIntegrator",1,1,NA,0.5,"negligible"
"com.werken.saxpath.XPathLexer",1,1,NA,0.5,"negligible"
"okhttp3.internal.http.HttpHeaders",1,1,NA,0.5,"negligible"
"umd.cs.shop.JSTerm",0.903132005966014,0.990771836983606,0.0000000000000093737070332642,0.0108974358974359,"large"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.997222222222222,1,0.351729226999197,0.488888888888889,"negligible"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.998791701974077,0.997782705099778,0.932359090503158,0.502268859897901,"negligible"
"wheel.asm.FieldWriter",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",0.998106060606061,0.998211091234347,0.600477985551685,0.489429175475687,"negligible"
"org.la4j.linear.GaussianSolver",0.965803136257682,1,0.00271165653015095,0.295454545454545,"medium"
"weka.classifiers.functions.supportVector.RegSMO",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnLineSearch",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",1,1,NA,0.5,"negligible"
"org.firebirdsql.jdbc.FBProcedureCall",0.998964803312629,1,0.317179606740643,0.488095238095238,"negligible"
"org.freehep.math.minuit.SimplexBuilder",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnHesse",0.998231653404067,1,0.122322123858946,0.474358974358974,"negligible"
"okio.RealBufferedSource",0.999164320900774,1,0.181594711396879,0.476190476190476,"negligible"
"org.freehep.math.minuit.MnFunctionCross",1,1,NA,0.5,"negligible"
"org.apache.bcel.util.Class2HTML",0.956083896973424,1,0.000000150032448142741,0.25609756097561,"large"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.998708010335917,0.995867768595041,0.563650735372446,0.511627906976744,"negligible"
"org.apache.bcel.generic.ConstantPoolGen",1,1,NA,0.5,"negligible"
"okio.Utf8",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",1,1,NA,0.5,"negligible"
"okhttp3.HttpUrl",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.formats.tiff.TiffField",1,1,NA,0.5,"negligible"
"okio.SegmentedByteString",0.999459167117361,1,0.328695814040283,0.488372093023256,"negligible"
