"class","dynamosa","pdynamosa","p-value","d","magnitude"
"org.databene.jdbacl.DBUtil",0.999509803921569,0.998632010943912,0.350563610450213,0.522383720930233,"negligible"
"org.freehep.math.minuit.MnAlgebraicSymMatrix",1,1,NA,0.5,"negligible"
"com.google.re2j.Simplify",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",1,0.972222222222222,0.00618976025587117,0.583333333333333,"small"
"com.alibaba.fastjson.util.ASMUtils",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.IOUtils",1,1,NA,0.5,"negligible"
"org.la4j.decomposition.EigenDecompositor",1,1,NA,0.5,"negligible"
"org.jsecurity.web.DefaultWebSecurityManager",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.serializer.DateCodec",1,1,NA,0.5,"negligible"
"com.google.re2j.Parser",0.1875,0.1875,NA,0.5,"negligible"
"weka.classifiers.Evaluation",0.999029126213592,0.997226074895978,0.333885029117925,0.538095238095238,"negligible"
"okio.Buffer",1,1,NA,0.5,"negligible"
"us.codecraft.webmagic.Site",1,1,NA,0.5,"negligible"
"okhttp3.internal.tls.OkHostnameVerifier",1,1,NA,0.5,"negligible"
"com.google.re2j.Unicode",1,1,NA,0.5,"negligible"
"umd.cs.shop.JSState",1,1,NA,0.5,"negligible"
"us.codecraft.webmagic.Spider",0.987012987012987,0.972789115646259,0.238978186485622,0.641414141414141,"small"
"okhttp3.internal.tls.DistinguishedNameParser",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.TypeUtils",0.994047619047619,1,0.00027405167051741,0.3125,"medium"
"okio.Segment",1,1,NA,0.5,"negligible"
"com.google.gson.internal.LinkedTreeMap",0.916666666666667,0.913995726495727,0.282884119214075,0.552083333333333,"negligible"
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0.950166112956811,0.932330827067669,0.276516443764376,0.559975520195838,"negligible"
"org.la4j.linear.ForwardBackSubstitutionSolver",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnMinos",1,1,NA,0.5,"negligible"
"com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager",1,1,NA,0.5,"negligible"
"org.la4j.decomposition.SingularValueDecompositor",1,1,NA,0.5,"negligible"
"weka.classifiers.CheckClassifier",0.997639653815893,0.998463901689708,0.634683359899976,0.487224157955865,"negligible"
"com.alibaba.fastjson.serializer.StringCodec",1,1,NA,0.5,"negligible"
"org.la4j.matrix.dense.Basic1DMatrix",1,1,NA,0.5,"negligible"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",1,1,NA,0.5,"negligible"
"org.la4j.vector.sparse.CompressedVector",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.parser.JSONLexerBase",0.989130434782609,0.962215320910973,0.0975574216894276,0.869047619047619,"large"
"org.la4j.matrix.sparse.CRSMatrix",1,1,NA,0.5,"negligible"
