TARGET_CLASS,criterion,configuration_id,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Length,BranchCoverage,ObjectsInstantiations,StatementCovered,StatementCounter,CoveredMethodCall,LoopCounter,TestExecutionTime,Random_Seed,LineCoverage,WeakMutationScore,ExceptionCoverage,InputCoverage,OutputCoverage,MethodCoverage,MutationScore
org.firebirdsql.jdbc.FBProcedureCall,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD,PDMOSA,90,20,733,729,383550,37598,37549,252634,69,234,0.8673469387755102,6.0,151796.0,0.0,29.0,28387.0,149,1000,0.9487179487179488,0.9077809798270894,1.0,1.0,0.7428571428571429,0.9444444444444444,0.4927953890489914
okio.RealBufferedSource,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD,PDMOSA,176,52,1558,70,26858,3599,3550,265021,143,625,0.7598039215686274,330.0,24.0,0.0,56.0,24.0,36,1000,0.9032258064516128,0.7945344129554656,1.0,0.7583892617449665,0.4418604651162791,1.0,0.2894977168949772
org.fixsuite.message.Library,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD,PDMOSA,32,6,61,10,7979,590,541,215366,7,14,0.22857142857142854,0.0,0.0,0.0,0.0,0.0,239,1000,0.4509803921568628,0.054545454545454536,1.0,1.0,0.3636363636363637,1.0,0.01818181818181818
com.alibaba.fastjson.util.IOUtils,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD,PDMOSA,222,20,1321,207,112332,10640,10591,208757,92,190,0.6651785714285714,0.0,1366.0,0.0,93.0,212.0,26,1000,0.8013698630136986,0.714448236632537,1.0,0.6521739130434783,0.6666666666666666,1.0,0.36620964175143744
com.google.re2j.Utils,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD,PDMOSA,104,11,1015,1700,1109753,87323,87274,205888,72,114,0.9807692307692308,0.0,68.0,0.0,16.0,35.0,9,1000,0.9647058823529412,0.972644376899696,1.0,0.9629629629629628,0.72,1.0,0.7091412742382271
com.google.re2j.Regexp,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD,PDMOSA,182,10,547,65,28914,3426,3377,230047,68,272,0.7419354838709677,8.0,33.0,0.0,17.0,15.0,9,1000,0.7134146341463414,0.5511811023622047,0.8,1.0,0.875,1.0,0.2673611111111111
wheel.util.DynamicSelectModel,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD,PDMOSA,24,19,303,2369,789566,99485,99436,211107,44,149,1.0,24.0,96.0,0.0,44.0,18.0,7,1000,0.9466666666666668,0.9565217391304348,1.0,0.8974358974358975,0.6,1.0,0.56
org.firebirdsql.encodings.EncodingFactory,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD,PDMOSA,194,14,1015,587,302257,30053,30004,248274,102,140,0.964102564102564,0.0,15983.0,0.0,4.0,3899.0,64,1001,0.9421487603305784,0.9069767441860463,1.0,1.0,0.48,1.0,0.39276485788113696
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD,PDMOSA,60,14,260,259,85645,6674,6625,224600,14,66,0.6153846153846154,85.0,2191.0,0.0,488.0,219.0,29,1001,0.7264957264957265,0.6956521739130435,1.0,0.3947368421052632,0.16666666666666666,1.0,0.14285714285714285
org.freehep.math.minuit.MnFunctionCross,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD,PDMOSA,160,2,631,234,285236,11185,11136,222023,25,210,0.906832298136646,853.0,14894.0,0.0,8.0,1977.0,105,1001,0.9589041095890408,0.9907407407407408,1.0,1.0,0.5,1.0,0.6160714285714286
wheel.asm.ClassWriter,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD,PDMOSA,164,35,1575,310,234088,15473,15424,248935,118,325,0.9770114942528736,412.0,2523.0,0.0,749.0,828.0,85,1001,0.9942028985507246,0.9921630094043888,1.0,0.9833333333333332,0.509090909090909,1.0,0.1902693310165074
