"class","non-adaptive","pdynamosa","p-value","d","magnitude"
"com.werken.saxpath.XPathLexer",1473.8,1113.76595744681,0.000145950100085034,0.814184397163121,"large"
"okhttp3.internal.http.HttpHeaders",1143.5,1242.95348837209,0.228175663325872,0.391196013289037,"small"
"umd.cs.shop.JSTerm",949.285714285714,587.15,0.000000404421942348041,0.914285714285714,"large"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",227.933333333333,137.634146341463,0.000000268629868264277,0.952845528455285,"large"
"com.alibaba.fastjson.parser.JSONReaderScanner",72.6666666666667,64.5121951219512,0.0956975523235987,0.647154471544715,"small"
"wheel.asm.FieldWriter",290.818181818182,252.976744186047,0.18297839321791,0.632135306553911,"small"
"org.apache.commons.jxpath.ri.compiler.Path",897.571428571429,908.813953488372,0.809544018270149,0.477574750830565,"negligible"
"org.la4j.linear.GaussianSolver",451,334.611111111111,0.51578947368421,0.666666666666667,"medium"
"weka.classifiers.functions.supportVector.RegSMO",704.266666666667,507.552631578947,0.00022216304789135,0.828947368421053,"large"
"org.freehep.math.minuit.MnLineSearch",236.466666666667,261.977272727273,0.536579466208417,0.445454545454545,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",860.307692307692,787.659090909091,0.402679332991881,0.577797202797203,"small"
"org.firebirdsql.jdbc.FBProcedureCall",1635.875,1419.86363636364,0.022499127793002,0.694602272727273,"medium"
"org.freehep.math.minuit.SimplexBuilder",227.5,228.023255813953,0.977814212968126,0.503322259136213,"negligible"
"org.freehep.math.minuit.MnHesse",358.5,395.978723404255,0.304745782136864,0.402482269503546,"small"
"okio.RealBufferedSource",62.7857142857143,62.0526315789474,0.741138349846984,0.531015037593985,"negligible"
"org.freehep.math.minuit.MnFunctionCross",494.785714285714,475.466666666667,0.741667247432327,0.53015873015873,"negligible"
"org.apache.bcel.util.Class2HTML",630.5,322.6,0.000546771868823584,0.808730158730159,"large"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",1163.4,1040.70454545455,0.284352370177257,0.593939393939394,"small"
"org.apache.bcel.generic.ConstantPoolGen",340.230769230769,325.09756097561,0.627228669372862,0.545966228893058,"negligible"
"okio.Utf8",2683.46153846154,3119.54545454545,0.00500066572321058,0.246503496503497,"large"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",732.384615384615,288.761904761905,0.0000000059551414631332,0.95970695970696,"large"
"okhttp3.HttpUrl",455.642857142857,373.90243902439,0.126890246755996,0.638501742160279,"small"
"org.apache.commons.imaging.formats.tiff.TiffField",1267.28571428571,1337.55555555556,0.344983440973276,0.415079365079365,"small"
"okio.SegmentedByteString",668.214285714286,571,0.200816127373296,0.615448504983389,"small"
"com.alibaba.fastjson.parser.DefaultJSONParser",138.1,110.75,0.0587237800434463,0.710416666666667,"medium"
"accessories.plugins.time.JDayChooser",181.125,138.857142857143,0.00600771703752017,0.816071428571429,"large"
"wheel.asm.ClassWriter",283.538461538462,273.717391304348,0.436952093619362,0.57190635451505,"negligible"
"com.google.re2j.RE2",959.214285714286,831.186046511628,0.033005597148273,0.691860465116279,"medium"
"okio.Timeout",2176.07142857143,2371.1,0.0649518062573816,0.332142857142857,"medium"
"org.apache.commons.imaging.common.RationalNumber",598.083333333333,571.06976744186,0.540950412624502,0.559108527131783,"negligible"
"com.alibaba.fastjson.JSONArray",232,116.418604651163,0.00000000470663874450925,1,"large"
"okio.ByteString",140.4,124.976744186047,0.0401896669330062,0.67984496124031,"medium"
"org.firebirdsql.encodings.EncodingFactory",943.733333333333,1010.93023255814,0.244764634898896,0.397674418604651,"small"
"weka.core.FindWithCapabilities",781.727272727273,169.311111111111,0.000000350029048327395,1,"large"
"org.apache.commons.jxpath.util.MethodLookupUtils",1195.66666666667,1098.3,0.383517395306973,0.578333333333333,"small"
"us.codecraft.webmagic.model.PageModelExtractor",1312.91666666667,1408.6511627907,0.499737287965436,0.434108527131783,"negligible"
"weka.gui.beans.Filter",342.571428571429,301.886363636364,0.124654228067984,0.637987012987013,"small"
"umd.cs.shop.JSPredicateForm",1737.83333333333,1216.5,0.00434917562955006,0.769736842105263,"large"
"com.google.re2j.Utils",1409.5,1690.40476190476,0.00950005969176034,0.255952380952381,"large"
"okhttp3.CacheControl",1601.28571428571,1745.60975609756,0.0820408030246751,0.342334494773519,"small"
"org.apache.bcel.verifier.structurals.InstConstraintVisitor",223,232.545454545455,0.689276989423993,0.459710743801653,"negligible"
"com.google.gson.stream.JsonReader",708.642857142857,571.075,0.0214717426536899,0.708928571428571,"medium"
"org.databene.jdbacl.SQLUtil",520.363636363636,611.738095238095,0.0999810390100134,0.336580086580087,"small"
"wheel.asm.ClassReader",125,58.5714285714286,0.0000123097878940038,0.997252747252747,"large"
"okio.RealBufferedSink",268.181818181818,298.692307692308,0.297253518845848,0.395104895104895,"small"
"org.javathena.login.Login",623.285714285714,363.886363636364,0.0000548251222847743,0.861201298701299,"large"
"com.google.gson.internal.LinkedHashTreeMap",42.9230769230769,47.5714285714286,0.478092462610015,0.434850863422292,"negligible"
"umd.cs.shop.JSJshop",25.8,38.74,0.000000303092589693285,0.0613333333333333,"large"
"wheel.util.DynamicSelectModel",2272.38461538462,3105.77551020408,0.00000234810709505114,0.0706436420722135,"large"
"com.google.re2j.Compiler",175.1,75.9024390243902,0.00000772837302935168,0.960975609756098,"large"
"us.codecraft.webmagic.utils.DoubleKeyMap",22.5833333333333,24,0.234074186546029,0.387037037037037,"small"
"com.google.re2j.CharClass",18.5454545454545,17.2894736842105,0.132682604246942,0.649521531100478,"small"
"org.mozilla.javascript.Parser",432.153846153846,399.146341463415,0.678292586623997,0.539399624765478,"negligible"
"okio.Okio",489,360.97619047619,0.0000531171629735396,0.854761904761905,"large"
"org.objectweb.asm.jip.MethodWriter",230.909090909091,247.175,0.513879460162848,0.434090909090909,"negligible"
"com.google.re2j.Regexp",146.2,54.8837209302326,0.0000000106042394758101,1,"large"
"com.pmdesigns.jvc.tools.JVCParser",205.166666666667,200.16,0.775611080740562,0.476666666666667,"negligible"
"org.databene.jdbacl.DBUtil",565.785714285714,532.790697674419,0.191192207020617,0.617940199335548,"small"
"org.freehep.math.minuit.MnAlgebraicSymMatrix",96.8125,76.8461538461538,0.0133356146820608,0.71474358974359,"medium"
"com.google.re2j.Simplify",71.7857142857143,59.4390243902439,0.0237300839774107,0.704703832752613,"medium"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",356.357142857143,172.738095238095,0.0000000385901705300869,0.994897959183674,"large"
"com.alibaba.fastjson.util.ASMUtils",1741.75,1824.42424242424,0.367112882862669,0.409090909090909,"small"
"com.alibaba.fastjson.util.IOUtils",195.636363636364,221.604651162791,0.153200087719316,0.358350951374207,"small"
"org.la4j.decomposition.EigenDecompositor",122.166666666667,87.4117647058823,0.561700694423807,0.588235294117647,"small"
"org.jsecurity.web.DefaultWebSecurityManager",122.923076923077,128.955555555556,0.588523714183009,0.44957264957265,"negligible"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",112.2,146.702702702703,0.00405770943739486,0.2,"large"
"com.alibaba.fastjson.serializer.DateCodec",254.384615384615,291.457142857143,0.0243890748416456,0.285714285714286,"medium"
"com.google.re2j.Parser",607.384615384615,519,0.0625548743167737,0.673076923076923,"medium"
"weka.classifiers.Evaluation",179,165.571428571429,0.732589033110571,0.53452380952381,"negligible"
"okio.Buffer",158.230769230769,148.853658536585,0.261282575495786,0.605065666041276,"small"
"us.codecraft.webmagic.Site",1630.875,1858.19047619048,0.0330651605338316,0.316964285714286,"medium"
"okhttp3.internal.tls.OkHostnameVerifier",533.666666666667,541.767441860465,0.922194405795376,0.490697674418605,"negligible"
"com.google.re2j.Unicode",723.285714285714,746.581395348837,0.759674886791043,0.471760797342193,"negligible"
"umd.cs.shop.JSState",2048.21428571429,1886.89743589744,0.140818454246974,0.634615384615385,"small"
"us.codecraft.webmagic.Spider",116,59.3333333333333,0.0134264877808803,0.958333333333333,"large"
"okhttp3.internal.tls.DistinguishedNameParser",281.5,316.62,0.104895743587991,0.3475,"small"
"com.alibaba.fastjson.util.TypeUtils",72.7857142857143,70.551724137931,0.706909758439542,0.536945812807882,"negligible"
"okio.Segment",2361.63636363636,2594.38888888889,0.213584131707422,0.373737373737374,"small"
"com.google.gson.internal.LinkedTreeMap",58.5454545454545,69.2916666666667,0.188754019611749,0.371212121212121,"small"
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",223.363636363636,191,0.103071117430114,0.663875598086124,"small"
"org.la4j.linear.ForwardBackSubstitutionSolver",179,417.823529411765,0.140350877192982,0.147058823529412,"large"
"org.freehep.math.minuit.MnMinos",974.538461538462,633.684210526316,0.000776669543992478,0.815789473684211,"large"
"com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager",217.428571428571,100.790697674419,0.000000359747798566027,0.956810631229236,"large"
"org.la4j.decomposition.SingularValueDecompositor",52.6923076923077,40.1724137931034,0.108199559897903,0.657824933687003,"small"
"weka.classifiers.CheckClassifier",330.125,122.785714285714,0.0000000109484865456241,0.989583333333333,"large"
"com.alibaba.fastjson.serializer.StringCodec",250.076923076923,306.63829787234,0.00065108104479374,0.188216039279869,"large"
"org.la4j.matrix.dense.Basic1DMatrix",145,256.8,0.25,0.2,"large"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",122.888888888889,74.9354838709677,0.0000161949682322938,0.978494623655914,"large"
"com.alibaba.fastjson.parser.JSONLexerBase",58.5,77.5238095238095,0.0411933169652592,0.166666666666667,"large"
"org.la4j.matrix.sparse.CRSMatrix",175,66.7857142857143,0.132117822418876,1,"large"
