"class","non-adaptive","pdynamosa","p-value","d","magnitude"
"com.werken.saxpath.XPathLexer",0.946666666666667,0.942553191489362,0.419848673557835,0.54113475177305,"negligible"
"okhttp3.internal.http.HttpHeaders",0.428571428571429,0.43176831943835,0.0184738802420882,0.315614617940199,"medium"
"umd.cs.shop.JSTerm",0.863636363636364,0.863636363636364,NA,0.5,"negligible"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.927891156462585,0.95370831259333,0.0126197634955497,0.365853658536585,"small"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.982456140350877,0.982884039366709,0.921708764330416,0.508943089430894,"negligible"
"wheel.asm.FieldWriter",0.785714285714286,0.785714285714286,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",0.82815734989648,0.842601954836535,0.027225261525104,0.305647840531561,"medium"
"org.la4j.linear.GaussianSolver",0.615384615384615,0.615384615384615,NA,0.5,"negligible"
"weka.classifiers.functions.supportVector.RegSMO",0.977777777777778,0.975279106858054,0.541942729000385,0.546491228070175,"negligible"
"org.freehep.math.minuit.MnLineSearch",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",0.615384615384615,0.615868506493507,0.37078942792788,0.472902097902098,"negligible"
"org.firebirdsql.jdbc.FBProcedureCall",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.SimplexBuilder",0.942249240121581,0.946561108362197,0.405176630593322,0.43687707641196,"negligible"
"org.freehep.math.minuit.MnHesse",0.892939814814815,0.894208037825059,0.378088876566526,0.421099290780142,"small"
"okio.RealBufferedSource",0.694630872483221,0.736312257152949,0.0052818081963139,0.245300751879699,"large"
"org.freehep.math.minuit.MnFunctionCross",1,1,NA,0.5,"negligible"
"org.apache.bcel.util.Class2HTML",1,1,NA,0.5,"negligible"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.916666666666667,0.924558080808081,0.0414787424821399,0.327272727272727,"medium"
"org.apache.bcel.generic.ConstantPoolGen",0.857970342910102,0.852115780193947,0.285913160148148,0.599437148217636,"small"
"okio.Utf8",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",1,1,NA,0.5,"negligible"
"okhttp3.HttpUrl",0.861224489795918,0.879442508710801,0.00776285396074332,0.260452961672474,"large"
"org.apache.commons.imaging.formats.tiff.TiffField",1,1,NA,0.5,"negligible"
"okio.SegmentedByteString",0.839721254355401,0.845717526942711,0.21884961054725,0.42358803986711,"small"
"com.alibaba.fastjson.parser.DefaultJSONParser",0.725365853658537,0.725,0.790269745122697,0.53125,"negligible"
"accessories.plugins.time.JDayChooser",0.703689759036145,0.709896729776248,0.27303467042814,0.373214285714286,"small"
"wheel.asm.ClassWriter",0.983333333333333,0.982608695652174,0.178706965177507,0.565217391304348,"negligible"
"com.google.re2j.RE2",0.965963566634708,0.964257842984236,0.0842143586385568,0.613787375415282,"small"
"okio.Timeout",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.RationalNumber",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.JSONArray",0.866359447004608,0.822741399635623,0.00000711721320638222,0.882994186046512,"large"
"okio.ByteString",0.718196457326892,0.719806763285024,0.607374423588658,0.455813953488372,"negligible"
"org.firebirdsql.encodings.EncodingFactory",1,1,NA,0.5,"negligible"
"weka.core.FindWithCapabilities",0.855993563958166,0.825172074729597,0.000228011612280624,0.857575757575758,"large"
"org.apache.commons.jxpath.util.MethodLookupUtils",0.590909090909091,0.590909090909091,NA,0.5,"negligible"
"us.codecraft.webmagic.model.PageModelExtractor",0.519230769230769,0.519230769230769,NA,0.5,"negligible"
"weka.gui.beans.Filter",0.733163265306122,0.727597402597403,0.384150373680483,0.576298701298701,"small"
"umd.cs.shop.JSPredicateForm",0.85,0.85,NA,0.5,"negligible"
"com.google.re2j.Utils",0.962962962962963,0.962962962962963,NA,0.5,"negligible"
"okhttp3.CacheControl",0.6,0.6,NA,0.5,"negligible"
"org.apache.bcel.verifier.structurals.InstConstraintVisitor",0.372761707988981,0.368112947658402,0.376519309776624,0.587809917355372,"small"
"com.google.gson.stream.JsonReader",1,1,NA,0.5,"negligible"
"org.databene.jdbacl.SQLUtil",0.813257575757576,0.821626984126984,0.00581883261502075,0.229437229437229,"large"
"wheel.asm.ClassReader",0.83974358974359,0.880952380952381,0.0336789990890619,0.258241758241758,"large"
"okio.RealBufferedSink",0.872727272727273,0.871306471306471,0.474396086251677,0.567599067599068,"negligible"
"org.javathena.login.Login",0.658602150537634,0.601417399804497,0.0000517147259602546,0.862012987012987,"large"
"com.google.gson.internal.LinkedHashTreeMap",0.997920997920998,1,0.0571934817480756,0.461538461538462,"negligible"
"umd.cs.shop.JSJshop",0.222435897435897,0.226153846153846,0.330993461961979,0.419333333333333,"small"
"wheel.util.DynamicSelectModel",0.895463510848126,0.897435897435897,0.633292454713931,0.45839874411303,"negligible"
