"class","non-adaptive","pdynamosa","p-value","d","magnitude"
"org.databene.jdbacl.DBUtil",0.63633067440174,0.72010388383898,0.000000148742453424105,0.0290697674418605,"large"
"org.freehep.math.minuit.MnAlgebraicSymMatrix",0.918087121212121,0.918997668997669,0.684346249265855,0.46474358974359,"negligible"
"com.google.re2j.Simplify",0.528361344537815,0.53622668579627,0.976815541253945,0.496515679442509,"negligible"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",0.584604715672677,0.625288950531669,0.00911069122888491,0.26530612244898,"medium"
"com.alibaba.fastjson.util.ASMUtils",0.439393939393939,0.439393939393939,NA,0.5,"negligible"
"com.alibaba.fastjson.util.IOUtils",0.656655844155844,0.692379568106312,0.000435077021058743,0.153276955602537,"large"
"org.la4j.decomposition.EigenDecompositor",0.589686098654709,0.771564231073595,0.307244541013756,0.352941176470588,"small"
"org.jsecurity.web.DefaultWebSecurityManager",0.708381171067738,0.720729684908789,0.229724516935599,0.397435897435897,"small"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",0.259915611814346,0.296613068764968,0.0000116950641079874,0.0459459459459459,"large"
"com.alibaba.fastjson.serializer.DateCodec",0.62753036437247,0.656390977443609,0.035511220506052,0.301098901098901,"medium"
"com.google.re2j.Parser",0.630031138277015,0.622652959234668,1,0.499084249084249,"negligible"
"weka.classifiers.Evaluation",0.359291306139267,0.457884513508741,0.000000410350964201712,0.00476190476190476,"large"
"okio.Buffer",0.703296703296703,0.794464236777199,0.000000188314676023959,0.0159474671669794,"large"
"us.codecraft.webmagic.Site",0.891089108910891,0.891089108910891,NA,0.5,"negligible"
"okhttp3.internal.tls.OkHostnameVerifier",0.136363636363636,0.136363636363636,NA,0.5,"negligible"
"com.google.re2j.Unicode",0.865168539325843,0.865168539325843,NA,0.5,"negligible"
"umd.cs.shop.JSState",0.547038327526132,0.579111944965603,0.0000299850960944949,0.202380952380952,"large"
"us.codecraft.webmagic.Spider",0.602348993288591,0.609992542878449,0.755662232766882,0.430555555555556,"negligible"
"okhttp3.internal.tls.DistinguishedNameParser",0.0533175355450237,0.166635071090047,0.00950878858741332,0.270833333333333,"medium"
"com.alibaba.fastjson.util.TypeUtils",0.54381033850666,0.541635939942775,0.896840507751237,0.513546798029557,"negligible"
"okio.Segment",1,0.99904214559387,0.615302555690511,0.513888888888889,"negligible"
"com.google.gson.internal.LinkedTreeMap",0.564146134239592,0.703757788161994,0.000609617817450423,0.165719696969697,"large"
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0.579020979020979,0.578542510121458,1,0.5,"negligible"
