"class","non-adaptive","pdynamosa","p-value","d","magnitude"
"com.werken.saxpath.XPathLexer",0.568437025796662,0.590611177477158,0.00084218731071183,0.211347517730496,"large"
"okhttp3.internal.http.HttpHeaders",0.547462406015038,0.56984394124847,0.00488397556644525,0.247508305647841,"large"
"umd.cs.shop.JSTerm",0.603379416282642,0.637688172043011,0.0108577429920276,0.26875,"medium"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.0857870742826495,0.135853462315798,0.0000000134330973394529,0,"large"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.233347782112412,0.268810724518168,0.00000721516512431909,0.104878048780488,"large"
"wheel.asm.FieldWriter",0.388772517804776,0.391062051227092,0.649917222777622,0.545454545454545,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",0.636204481792717,0.657888736890105,0.0333203633998054,0.308970099667774,"medium"
"org.la4j.linear.GaussianSolver",0.329113924050633,0.307137834036568,0.752513974451217,0.583333333333333,"small"
"weka.classifiers.functions.supportVector.RegSMO",0.0950292397660819,0.119358841181902,0.00000184891224281695,0.0754385964912281,"large"
"org.freehep.math.minuit.MnLineSearch",0.133838383838384,0.136363636363636,0.757936748972395,0.472727272727273,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",0.295953042940995,0.326305220883534,0.000000547611299045827,0.0410839160839161,"large"
"org.firebirdsql.jdbc.FBProcedureCall",0.528278097982709,0.533468692690595,0.348021082244959,0.419744318181818,"small"
"org.freehep.math.minuit.SimplexBuilder",0.545556805399325,0.566379783922359,0.357075081998351,0.416943521594684,"small"
"org.freehep.math.minuit.MnHesse",0.441954022988506,0.442259721203228,0.791852883203881,0.525709219858156,"negligible"
"okio.RealBufferedSource",0.229354207436399,0.288248017303533,0.000282223657431932,0.168233082706767,"large"
"org.freehep.math.minuit.MnFunctionCross",0.487882653061225,0.434325396825397,0.112554113765434,0.642063492063492,"small"
"org.apache.bcel.util.Class2HTML",0.312850140056022,0.316503267973856,0.886594751759867,0.486507936507937,"negligible"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.170875420875421,0.22012741046832,0.0521901831938557,0.33030303030303,"medium"
"org.apache.bcel.generic.ConstantPoolGen",0.61635737803053,0.623920470722217,0.184847887286062,0.376172607879925,"small"
"okio.Utf8",0.335949764521193,0.333951762523191,0.707240705531464,0.524475524475524,"negligible"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",0.328936097310262,0.378141902640789,0.00519603314498319,0.240842490842491,"large"
"okhttp3.HttpUrl",0.282921925611527,0.304854211560098,0.000106958529462983,0.149825783972125,"large"
"org.apache.commons.imaging.formats.tiff.TiffField",0.757343124165554,0.754828660436137,0.693651612899792,0.535714285714286,"negligible"
"okio.SegmentedByteString",0.245919738863287,0.315250687671918,0.00000058284286325119,0.0514950166112957,"large"
"com.alibaba.fastjson.parser.DefaultJSONParser",0.140087145969499,0.165123456790123,0.0326404084271095,0.2625,"large"
"accessories.plugins.time.JDayChooser",0.206497348021216,0.212985953255231,0.00517754880669518,0.178571428571429,"large"
"wheel.asm.ClassWriter",0.174630755864466,0.180863521323613,0.0413921372048459,0.312709030100334,"medium"
"com.google.re2j.RE2",0.345825852782765,0.347480272222454,0.58442350101769,0.450166112956811,"negligible"
"okio.Timeout",0.16681455190772,0.165217391304348,0.823877653107889,0.520535714285714,"negligible"
"org.apache.commons.imaging.common.RationalNumber",0.676470588235294,0.67578659370725,1,0.500968992248062,"negligible"
"com.alibaba.fastjson.JSONArray",0.372864906832298,0.555539505994511,0.000000271343384838288,0.061046511627907,"large"
"okio.ByteString",0.526542249870399,0.554667438243698,0.00284066463113499,0.238759689922481,"large"
"org.firebirdsql.encodings.EncodingFactory",0.389836347975883,0.399435130100355,0.0381954091041716,0.318604651162791,"medium"
"weka.core.FindWithCapabilities",0.219964349376114,0.199389978213508,0.00043778826815075,0.844444444444444,"large"
"org.apache.commons.jxpath.util.MethodLookupUtils",0.625352112676056,0.62544014084507,0.747909278948575,0.470833333333333,"negligible"
"us.codecraft.webmagic.model.PageModelExtractor",0.100308641975309,0.100344530577089,0.987314907937935,0.498062015503876,"negligible"
"weka.gui.beans.Filter",0.195069532237674,0.229766693483508,0.00886333684508017,0.265422077922078,"medium"
"umd.cs.shop.JSPredicateForm",0.516161616161616,0.570414673046252,0.000566596550335203,0.166666666666667,"large"
"com.google.re2j.Utils",0.690327793167128,0.683402585410896,0.189809039599778,0.625992063492063,"small"
"okhttp3.CacheControl",0.666895604395604,0.678529549718574,0.101956554297214,0.35191637630662,"small"
"org.apache.bcel.verifier.structurals.InstConstraintVisitor",0.000119381603294932,0.00402912911120396,0.0602726295380608,0.337809917355372,"small"
"com.google.gson.stream.JsonReader",0.128372324539572,0.157465156794425,0.00000465076322101133,0.0848214285714286,"large"
"org.databene.jdbacl.SQLUtil",0.618334606569901,0.651900760304122,0.00875637322465076,0.24025974025974,"large"
"wheel.asm.ClassReader",0.315501117793381,0.33571136190866,0.0466045712791305,0.271978021978022,"medium"
"okio.RealBufferedSink",0.31198347107438,0.312121212121212,0.613301728086552,0.448717948717949,"negligible"
"org.javathena.login.Login",0.240251218597675,0.238099498926271,0.709276032146491,0.534090909090909,"negligible"
"com.google.gson.internal.LinkedHashTreeMap",0.180246776345042,0.185177539223782,0.690750948233026,0.463108320251177,"negligible"
"umd.cs.shop.JSJshop",0.0974576271186441,0.107966101694915,0.336214867352229,0.417333333333333,"small"
"wheel.util.DynamicSelectModel",0.272820512820513,0.44108843537415,0.00899095425826933,0.262951334379906,"large"
"com.google.re2j.Compiler",0.112299465240642,0.106430155210643,0.312799606774081,0.604878048780488,"small"
"us.codecraft.webmagic.utils.DoubleKeyMap",0.652298850574713,0.678927203065134,0.272972377718093,0.396296296296296,"small"
"com.google.re2j.CharClass",0.160411622276029,0.136979100293106,0.250053312736502,0.616028708133971,"small"
"org.mozilla.javascript.Parser",0.0999327409819817,0.10688830772339,0.00929004665465032,0.25797373358349,"large"
"okio.Okio",0.183619047619048,0.24530612244898,0.093718105231989,0.353174603174603,"small"
"org.objectweb.asm.jip.MethodWriter",0.0985273293684509,0.124548286604361,0.000000630893725465868,0.00454545454545455,"large"
"com.google.re2j.Regexp",0.306944444444444,0.291343669250646,0.286535631074745,0.593798449612403,"small"
"com.pmdesigns.jvc.tools.JVCParser",0.191609977324263,0.195510204081633,0.251302851848262,0.407777777777778,"small"
"org.databene.jdbacl.DBUtil",0.182244897959184,0.21421926910299,0.0231233205525868,0.295681063122924,"medium"
"org.freehep.math.minuit.MnAlgebraicSymMatrix",0.191372366790582,0.19518317287834,0.759707689918577,0.47275641025641,"negligible"
"com.google.re2j.Simplify",0.192084942084942,0.190342781806196,0.930450587194699,0.508710801393728,"negligible"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",0.189007421150278,0.206632653061224,0.260089462057064,0.397959183673469,"small"
"com.alibaba.fastjson.util.ASMUtils",0.406385281385281,0.39866194411649,0.469766698871811,0.570707070707071,"negligible"
"com.alibaba.fastjson.util.IOUtils",0.374130513449399,0.373389012887897,0.788317282876185,0.527484143763214,"negligible"
"org.la4j.decomposition.EigenDecompositor",0.0866765725606736,0.111878332313609,0.362607915207959,0.367647058823529,"small"
"org.jsecurity.web.DefaultWebSecurityManager",0.33006993006993,0.348821548821549,0.000921855702732233,0.246153846153846,"large"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",0.00839285714285714,0.0123552123552124,0.551459383333746,0.458108108108108,"negligible"
"com.alibaba.fastjson.serializer.DateCodec",0.681623931623932,0.733333333333333,0.0126049339332817,0.264835164835165,"medium"
"com.google.re2j.Parser",0.189727073785045,0.18458451550239,0.246136263695478,0.608058608058608,"small"
"weka.classifiers.Evaluation",0.0536454799065068,0.0877047856011891,0.00000342157333752284,0.0880952380952381,"large"
"okio.Buffer",0.313969619199556,0.382007521608129,0.000000380414888861425,0.0281425891181989,"large"
"us.codecraft.webmagic.Site",0.54271449704142,0.542194984502677,0.406259177196781,0.569196428571429,"negligible"
"okhttp3.internal.tls.OkHostnameVerifier",0.0606666666666667,0.0643023255813954,0.0473474017940458,0.34031007751938,"small"
"com.google.re2j.Unicode",0.499556344276841,0.507077856420627,0.231637720056468,0.39202657807309,"small"
"umd.cs.shop.JSState",0.293469387755102,0.293333333333333,0.598370808197615,0.547619047619048,"negligible"
"us.codecraft.webmagic.Spider",0.326544943820225,0.344093188598997,0.642972170254394,0.402777777777778,"small"
"okhttp3.internal.tls.DistinguishedNameParser",0.0280405405405405,0.072027027027027,0.0106349442513323,0.274166666666667,"medium"
"com.alibaba.fastjson.util.TypeUtils",0.268276833098668,0.265849258842906,0.533689240355638,0.560344827586207,"negligible"
"okio.Segment",0.315010570824524,0.319884895466291,0.860302986031249,0.481060606060606,"negligible"
"com.google.gson.internal.LinkedTreeMap",0.209993190330269,0.273213171036205,0.000209008154121649,0.138257575757576,"large"
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0.126262626262626,0.141186299081036,0.713098554044404,0.462918660287081,"negligible"
"org.la4j.linear.ForwardBackSubstitutionSolver",0.323979591836735,0.364645858343337,0.463035259064568,0.323529411764706,"medium"
"org.freehep.math.minuit.MnMinos",0.0403804438511597,0.340392738897134,0.00000278621383929369,0.0647773279352227,"large"
"com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager",0.196171859994386,0.214598561213372,0.00541951552615942,0.25,"large"
"org.la4j.decomposition.SingularValueDecompositor",0.258599124452783,0.255536865713485,0.956571408702977,0.493368700265252,"negligible"
"weka.classifiers.CheckClassifier",0.116632192553592,0.108991923207794,0.0400573749765753,0.676339285714286,"medium"
"com.alibaba.fastjson.serializer.StringCodec",0.31113662456946,0.31152746903779,0.905415449325574,0.511456628477905,"negligible"
"org.la4j.matrix.dense.Basic1DMatrix",0.445804195804196,0.490384615384615,0.0357142857142857,0,"large"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",0.332010582010582,0.366279993643731,0.00955981361732105,0.211469534050179,"large"
