"class","non-adaptive","pdynamosa","p-value","d","magnitude"
"com.werken.saxpath.XPathLexer",0.915733333333333,0.925276595744681,0.00000138965476677765,0.0865248226950355,"large"
"okhttp3.internal.http.HttpHeaders",0.805996472663139,0.839219064025266,0.000405501147926274,0.184385382059801,"large"
"umd.cs.shop.JSTerm",0.759883198562444,0.764544025157233,0.614473636038849,0.453571428571429,"negligible"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.196616161616162,0.365835181079084,0.0000000134407243660497,0,"large"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.811965811965812,0.828799249530957,0.00000180576973668526,0.0853658536585366,"large"
"wheel.asm.FieldWriter",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",0.918275418275418,0.927299392415672,0.000000095715188954043,0.0382059800664452,"large"
"org.la4j.linear.GaussianSolver",1,1,NA,0.5,"negligible"
"weka.classifiers.functions.supportVector.RegSMO",0.63859649122807,0.722437673130194,0.0000000240474198139729,0.00614035087719298,"large"
"org.freehep.math.minuit.MnLineSearch",0.990384615384615,0.990384615384615,NA,0.5,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",0.474877723432637,0.485855666491505,0.0000110249059218226,0.104020979020979,"large"
"org.firebirdsql.jdbc.FBProcedureCall",0.947649572649573,0.95027195027195,0.0382060256235601,0.369318181818182,"small"
"org.freehep.math.minuit.SimplexBuilder",0.955357142857143,0.956153100775194,0.438341347311734,0.465116279069767,"negligible"
"org.freehep.math.minuit.MnHesse",0.94921875,0.9609375,0.0922697343169084,0.355496453900709,"small"
"okio.RealBufferedSource",0.78439763001975,0.844045597865632,0.00127431355251651,0.205827067669173,"large"
"org.freehep.math.minuit.MnFunctionCross",0.946510110893673,0.951902587519026,0.104986802785966,0.356349206349206,"small"
"org.apache.bcel.util.Class2HTML",0.948979591836735,0.954761904761905,0.0546253364671766,0.36031746031746,"small"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.661347517730496,0.732954545454545,0.000426548583628649,0.196969696969697,"large"
"org.apache.bcel.generic.ConstantPoolGen",0.882478632478632,0.913956639566396,0.0172050095631278,0.278611632270169,"medium"
"okio.Utf8",0.533333333333333,0.533333333333333,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",0.930569430569431,0.958101422387137,0.0000135888349450957,0.103479853479853,"large"
"okhttp3.HttpUrl",0.852852504638219,0.881137155527399,0.00185156287566263,0.218641114982578,"large"
"org.apache.commons.imaging.formats.tiff.TiffField",0.838461538461538,0.873589743589744,0.000000000100767761745183,0,"large"
