"class","non-adaptive","pdynamosa","p-value","d","magnitude"
"com.werken.saxpath.XPathLexer",578.333333333333,554.787234042553,0.0494711823150647,0.670212765957447,"medium"
"okhttp3.internal.http.HttpHeaders",172.428571428571,177.395348837209,0.516093103477538,0.441029900332226,"negligible"
"umd.cs.shop.JSTerm",338.928571428571,390.625,0.000122179343003449,0.151785714285714,"large"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",152.066666666667,365.073170731707,0.0000000133950193849865,0,"large"
"com.alibaba.fastjson.parser.JSONReaderScanner",174.066666666667,197.975609756098,0.0000447640014241009,0.140650406504065,"large"
"wheel.asm.FieldWriter",89.1818181818182,83.2325581395349,0.129695976230324,0.650105708245243,"small"
"org.apache.commons.jxpath.ri.compiler.Path",443.428571428571,440.744186046512,0.787964731132154,0.524916943521595,"negligible"
"org.la4j.linear.GaussianSolver",51,53.9444444444444,1,0.486111111111111,"negligible"
"weka.classifiers.functions.supportVector.RegSMO",162.133333333333,217.210526315789,0.0000000472223538534665,0.0140350877192982,"large"
"org.freehep.math.minuit.MnLineSearch",95.0666666666667,97.0227272727273,0.536162224737877,0.445454545454545,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",131.076923076923,152.75,0.0000592962646683024,0.130244755244755,"large"
"org.firebirdsql.jdbc.FBProcedureCall",224.8125,225.181818181818,0.82782189710727,0.519176136363636,"negligible"
"org.freehep.math.minuit.SimplexBuilder",225.428571428571,233.441860465116,0.161340581254538,0.37375415282392,"small"
"org.freehep.math.minuit.MnHesse",393.833333333333,387.382978723404,0.692436186192867,0.538120567375887,"negligible"
"okio.RealBufferedSource",547.857142857143,626.026315789474,0.0099130940764459,0.264097744360902,"medium"
"org.freehep.math.minuit.MnFunctionCross",197.857142857143,205.8,0.305273209954954,0.407936507936508,"small"
"org.apache.bcel.util.Class2HTML",72,72.3333333333333,0.886414743061675,0.486507936507937,"negligible"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",196.333333333333,281.568181818182,0.00103113332270425,0.213636363636364,"large"
"org.apache.bcel.generic.ConstantPoolGen",467.846153846154,470.09756097561,0.64882091537948,0.456848030018762,"negligible"
"okio.Utf8",9.92307692307692,9.54545454545454,0.0593809685085091,0.655594405594406,"small"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",163.153846153846,188.738095238095,0.0108750466814926,0.263736263736264,"medium"
"okhttp3.HttpUrl",410.785714285714,546.975609756098,0.000000791174524910893,0.054006968641115,"large"
"org.apache.commons.imaging.formats.tiff.TiffField",476.928571428571,505.777777777778,0.00006791533490619,0.144444444444444,"large"
"okio.SegmentedByteString",339.142857142857,398.697674418605,0.0000000448989646709937,0.00913621262458472,"large"
"com.alibaba.fastjson.parser.DefaultJSONParser",494.8,531.5,0.0358747569827075,0.266666666666667,"medium"
"accessories.plugins.time.JDayChooser",322.5,370.514285714286,0.00285882101753912,0.157142857142857,"large"
