"class","non-adaptive","adynamosa","p-value","d","magnitude"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",0.6,0.6,NA,0.5,"negligible"
"com.alibaba.fastjson.util.ASMUtils",0.333333333333333,0.333333333333333,NA,0.5,"negligible"
"com.alibaba.fastjson.util.IOUtils",0.65564738292011,0.666666666666667,0.0000517642449289529,0.318181818181818,"medium"
"org.la4j.decomposition.EigenDecompositor",0.6,0.6,NA,0.5,"negligible"
"org.jsecurity.web.DefaultWebSecurityManager",0.363395225464191,0.378544061302682,0.0000234451438493161,0.28034188034188,"medium"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",0.0432098765432099,0.0512178845512179,0.639864885315932,0.486486486486487,"negligible"
"com.alibaba.fastjson.serializer.DateCodec",0.6,0.6,NA,0.5,"negligible"
"com.google.re2j.Parser",0.569230769230769,0.566666666666667,0.926112740117423,0.506410256410256,"negligible"
"weka.classifiers.Evaluation",0.195143884892086,0.223946557040082,0.00000612076557504803,0.0583333333333333,"large"
"okio.Buffer",0.399790685504971,0.449643271942924,0.00000237754900194506,0.0619136960600375,"large"
"us.codecraft.webmagic.Site",0.896935933147632,0.896935933147632,NA,0.5,"negligible"
"okhttp3.internal.tls.OkHostnameVerifier",0.386666666666667,0.390697674418605,0.673940364631711,0.47984496124031,"negligible"
"com.google.re2j.Unicode",1,1,NA,0.5,"negligible"
"umd.cs.shop.JSState",0.446428571428571,0.471153846153846,0.000112362807740478,0.252747252747253,"large"
"us.codecraft.webmagic.Spider",0.515116279069767,0.500258397932817,0.698887590752899,0.583333333333333,"small"
"okhttp3.internal.tls.DistinguishedNameParser",0.361111111111111,0.52,0.00330867947796371,0.261666666666667,"large"
"com.alibaba.fastjson.util.TypeUtils",0.494397759103641,0.494365562316881,0.825408132708974,0.477832512315271,"negligible"
"okio.Segment",0.6,0.6,NA,0.5,"negligible"
"com.google.gson.internal.LinkedTreeMap",0.645161290322581,0.686827956989247,0.149429316609704,0.359848484848485,"small"
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0.106060606060606,0.100877192982456,0.864755199517526,0.51555023923445,"negligible"
"org.la4j.linear.ForwardBackSubstitutionSolver",0.666666666666667,0.656862745098039,0.863831742854727,0.529411764705882,"negligible"
"org.freehep.math.minuit.MnMinos",0.048494983277592,0.463196033562166,0.00000310404856196342,0.0668016194331984,"large"
"com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager",0.5,0.5,NA,0.5,"negligible"
"org.la4j.decomposition.SingularValueDecompositor",0.4,0.4,NA,0.5,"negligible"
"weka.classifiers.CheckClassifier",0.353183962264151,0.294025157232704,0.00175773933036223,0.767113095238095,"large"
"com.alibaba.fastjson.serializer.StringCodec",0.714285714285714,0.714285714285714,NA,0.5,"negligible"
"org.la4j.matrix.dense.Basic1DMatrix",0.501333333333333,0.5248,0.0650964381308913,0.0666666666666667,"large"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",0.817901234567901,0.849462365591398,0.135604124365756,0.335125448028674,"small"
"com.alibaba.fastjson.parser.JSONLexerBase",0.277450980392157,0.301774042950514,0.033978892095233,0.154761904761905,"large"
"org.la4j.matrix.sparse.CRSMatrix",0.443396226415094,0.449685534591195,0.642237837292437,0.321428571428571,"medium"
